  id   |     name      |           permisoemb           | estado | idencode 
-------|---------------|--------------------------------|--------|----------
  5817 | TCLU-328471-6 |                                |    300 | NTgxNw==
  5790 | FCIU-415256-8 | 25001EC01029005D               |    300 | NTc5MA==
  5789 | TCNU-254569-0 | 25001EC01030190A               |    300 | NTc4OQ==
  5788 | ECMU-478477-8 | 25001EC01030190A               |    300 | NTc4OA==
  5795 | MSNU-504223-0 | 25001EC01030533B               |    300 | NTc5NQ==
  5787 | TRHU-113826-7 | 25001EC01030382D               |    300 | NTc4Nw==
  5766 | MSBU-328198-5 | 25001EC01029649R               |    300 | NTc2Ng==
  5765 | PCIU-283815-8 | 25001EC01029747Z               |    300 | NTc2NQ==
  5764 | PCIU-283773-7 | 25001EC01029747Z               |    300 | NTc2NA==
  5762 | PCIU-100209-7 | 25001EC01029747Z               |    300 | NTc2Mg==
  5763 | FCIU-384812-4 | 25001EC01029747Z               |    300 | NTc2Mw==
  5791 | SUDU-655787-8 | 25001EC01030257E               |    300 | NTc5MQ==
  5756 | MRKU-276425-4 | 25001EC01029692P               |    300 | NTc1Ng==
  5755 | MRSU-451681-4 | 25001EC01029692P               |    300 | NTc1NQ==
  5754 | MSKU-023066-8 | 25001EC01029692P               |    300 | NTc1NA==
  5793 | MSKU-164743-0 | 25001EC01030257E               |    300 | NTc5Mw==
  5757 | CAIU-260765-4 | 25001EC01029230D               |    300 | NTc1Nw==
  5794 | TCNU-283803-0 | 25001EC01030257E               |    300 | NTc5NA==
  5792 | TGBU-530657-6 | 25001EC01030257E               |    300 | NTc5Mg==
  5800 | GESU-656752-6 | 25001EC01030960F               |    300 | NTgwMA==
  5799 | CXDU-181987-4 | 25001EC01030960F               |    300 | NTc5OQ==
  5801 | MAGU-525143-0 | 25001EC01030960F               |    300 | NTgwMQ==
  5798 | TLLU-788362-3 | 25001EC01030960F               |    300 | NTc5OA==
  5771 | MSNU-585549-9 | 25001EC01029223F               |    300 | NTc3MQ==
  5772 | MSNU-700657-2 | 25001EC01029896V               |    300 | NTc3Mg==
  5773 | SEGU-177886-0 | 25001EC01030076D               |    300 | NTc3Mw==
  5774 | BHCU-319614-3 | 25001EC01030076D               |    300 | NTc3NA==
  5775 | TCKU-318810-3 | 25001EC01030076D               |    300 | NTc3NQ==
  5779 | TCLU-767748-1 | 25001EC03004998T               |    300 | NTc3OQ==
  5778 | CAIU-381159-6 | 25001EC03004998T               |    300 | NTc3OA==
  5777 | TEMU-542244-7 | 25001EC01004998T               |    400 | NTc3Nw==
  5776 | MEDU-266342-7 | 25001EC03004992N               |    300 | NTc3Ng==
  5761 | MEDU-543521-0 | 25001EC01004872K               |    300 | NTc2MQ==
  5759 | DFSU-154166-2 | 25001EC01004872K               |    300 | NTc1OQ==
  5760 | MEDU-582151-0 | 25001EC01004872K               |    300 | NTc2MA==
  5758 | MSDU-147389-9 | 25001EC01004872K               |    300 | NTc1OA==
  5770 | CAAU-807663-4 | 25001EC01029953P               |    300 | NTc3MA==
  5768 | HLBU-112489-1 | 25001PE01000174M               |    300 | NTc2OA==
  5769 | HLBU-140965-7 | 25001PE01000168P               |    300 | NTc2OQ==
  5767 | HLBU-124727-9 | 25001PE01000174M               |    400 | NTc2Nw==
  5783 | EGSU-960709-6 | 25001EC01030048C               |    300 | NTc4Mw==
  5782 | EGHU-846297-0 | 25001EC01030048C               |    300 | NTc4Mg==
  5780 | FCIU-998285-0 | 25001EC01030048C               |    300 | NTc4MA==
  5784 | EMCU-842262-7 | 25001EC01030048C               |    300 | NTc4NA==
  5781 | EGHU-957705-9 | 25001EC01030048C               |    300 | NTc4MQ==
  5786 | MRKU-071004-8 | 25001EC03005094H               |    300 | NTc4Ng==
  5785 | PONU-191622-5 | 25001EC03005094H               |    300 | NTc4NQ==
  5748 | CAAU-716531-5 | 25001EC01028777S               |    300 | NTc0OA==
  5749 | MRSU-535437-0 | 25001EC01028951M               |    300 | NTc0OQ==
  5747 | HLXU-844024-5 | 25001EC01028769T               |    300 | NTc0Nw==
  6242 | ZCSU-745465-9 | 25001EC01040454E               |    300 | NjI0Mg==
  5841 | MEDU-663200-2 | 25001EC0103005142B             |    300 | NTg0MQ==
  5803 | SUDU-791242-6 | 25001EC03004944K               |    300 | NTgwMw==
  5838 | CAAU-207714-5 | 25001EC01031177G               |    300 | NTgzOA==
  5805 | MRKU-859030-8 | 25001EC03004944K               |    300 | NTgwNQ==
  5810 | MSKU-516248-4 | 25001EC03004944K               |    300 | NTgxMA==
  5904 | FANU-360304-6 | 25001EC01031980X               |    300 | NTkwNA==
  5842 | MSNU-684980-2 | 25001EC01031147D               |    300 | NTg0Mg==
  5837 | MRKU-600770-5 | 25001EC01029900H               |    400 | NTgzNw==
  5836 | MSKU-159072-0 | 25001EC01029900H               |    300 | NTgzNg==
  5802 | MRKU-988903-7 | 25001PE01000171J               |    300 | NTgwMg==
  5845 | UACU-400612-8 | 25001PE01000187Z               |    300 | NTg0NQ==
  5846 | HLBU-283652-4 | 25001EC03005078J               |    300 | NTg0Ng==
  5859 | TCLU-246894-0 | 25001EC03005279M               |      0 | NTg1OQ==
  5843 | HLXU-800239-9 | 25001EC01030532A               |    400 | NTg0Mw==
  5848 | FSCU-823785-2 | 25001EC01031620W               |    300 | NTg0OA==
  5746 | MRKU-382311-4 | 25001EC01029227J               |    300 | NTc0Ng==
