Dia,Cliente,Contenedor,Estado,Envase,alerta_enviada,BL,hora,Hora
2025-05-07,La Tela Srl,MSMU-735571-3,10:36 Realizado,Contenedor,1,NB250155593         ,,
2025-05-07,La Tela Srl,BEAU-510664-6,10:34 Realizado,Contenedor,1,                    ,,
2025-05-07,Compañia Bulk S.A.,KKFU-807074-3,10:33 Realizado,Contenedor,1,NB250155593         ,,
2025-05-07,Compañia Bulk S.A.,GCXU-521248-0,10:33 Realizado,Contenedor,1,NB250155593         ,,
2025-05-07,Malu Ma Tex S.A.,MSMU-893988-2,11:02 Realizado,Pallets,1,148514003137        ,,
2025-05-07,Chelatex Sas,NYKU-489674-3,13:47 Realizado,Contenedor,1,SHIP001526          ,,
2025-05-07,Industrias Pugliese S.A.,TCNU-885013-5,13:48 Realizado,Pallets,1,SHIP001526          ,,
2025-05-07,Grass S. R. L.,KKFU-806003-0,14:47 Realizado,Contenedor,1,SHIP001526          ,,
2025-05-07,Grass S. R. L.,TRHU-539103-6,14:47 Realizado,Contenedor,1,SHIP001526          ,,
2025-05-07,Grass S. R. L.,BEAU-523211-4,14:47 Realizado,Contenedor,1,SHIP001526          ,,
2025-05-08,Textil Praga Srl,EITU-160877-1,08:27 Realizado,Contenedor,1,                    ,,
2025-05-08,Chelatex Sas,CAAU-923117-0,08:40 Realizado,Contenedor,1,BR347408859         ,,
2025-05-08,Chelatex Sas,FFAU-650994-0,08:39 Realizado,Contenedor,1,10875013            ,,
2025-05-08,Maransi S.A.,MSMU-652938-5,08:48 Realizado,Contenedor,1,                    ,,
2025-05-08,Maransi S.A.,CAIU-469372-8,08:48 Realizado,Contenedor,1,                    ,,
2025-05-08,Maransi S.A.,FFAU-170236-5,08:48 Realizado,Contenedor,1,                    ,,
2025-05-08,Grouport Srl,BSIU-299741-3,09:02 Realizado,Bultos,1,PAMFC2412016        ,,
2025-05-08,Maransi S.A.,CIPU-501935-1,08:48 Realizado,Contenedor,1,                    ,,
2025-05-08,Compañia Bulk S.A.,BSIU-950296-4,08:26 Realizado,Contenedor,1,SY250357824         ,,
2025-05-08,Telamania Srl,MSMU-791946-0,10:30 Realizado,Rollos,1,GILNB241001332      ,,
2025-05-08,Edelweiss Spedition Srl,TRHU-585102-3,10:37 Realizado,Bultos,1,SSZ111531RCS        ,,
2025-05-08,Lift Van Int. Co S.A,HLBU-153836-1,14:19 Realizado,Bultos,1,HLCURTM250218817    ,,
2025-05-09,Mma Tex S.A.,TEMU-626769-0,09:09 Realizado,Contenedor,1,                    ,,
2025-05-09,Grupo In 360 S.A.,TRHU-809700-4,09:10 Realizado,Rollos,1,NB240542985         ,,
2025-05-09,Edelweiss Spedition Srl,UACU-847236-1,11:01 Realizado,Bultos,1,HLCULI3250152456    ,,
2025-05-09,Ayb Srl,MRSU-741501-0,13:37 Realizado,Pallets,1,250468966           ,,
2025-05-12,Grupo In 360 S.A.,TCNU-562862-8,08:07 Realizado,Rollos,1,NB240542754         ,,
2025-05-12,Vc Textil Srl,TCNU-615251-5,08:17 Realizado,Contenedor,1,                    ,,
2025-05-12,Awam Tex Srl,ONEU-555586-2,08:30 Realizado,Contenedor,1,BR347408859         ,,
2025-05-12,Lift Van Int. Co S.A,TEMU-105143-5,10:38 Realizado,Bultos,1,ZIMUCRT908282       ,,
2025-05-12,Mercovan Argentina Srl,TEMU-233384-0,10:37 Realizado,Bultos,1,ONEYANRF06904900    ,,
2025-05-12,Nikin Srl,MNBU-305157-7,12:01 Realizado,Bultos,1,245505799           ,,
2025-05-13,Fedtex S.R.L,CAAU-867994-1,14:32 Realizado,Contenedor,1,SY250357826         ,,
2025-05-13,Bisora Group Sa,MSDU-600203-7,08:29 Realizado,Contenedor,1,                    ,,
2025-05-13,Shipy S.A.,EMCU-164039-7,09:16 Realizado,Contenedor,1,SY250357826         ,,
2025-05-13,Jupam Sa,ONEU-109981-0,09:39 Realizado,Contenedor,1,SHIP001526          ,,
2025-05-13,Mercovan Argentina Srl,TLLU-832938-6,13:36 Realizado,Bultos,1,SSZ111561RCS        ,,
2025-05-13,Mercovan Argentina Srl,MRKU-093612-2,14:04 Realizado,Bultos,1,250074906           ,,
2025-05-14,Compañia Bulk S.A.,GAOU-645023-8,08:09 Realizado,Contenedor,1,IBC1317049          ,,
2025-05-14,La Nueva Textil De Lugano Srl,MRKU-396043-6,09:23 Realizado,Contenedor,1,HDE25-040004A/B     ,,
2025-05-14,Malu Ma Tex S.A.,BMOU-496457-9,10:06 Realizado,Rollos,1,NB240745801         ,,
2025-05-14,Edelweiss Spedition Srl,OOLU-950847-4,11:11 Realizado,Bultos,1,OOLU2306295960      ,,
2025-05-14,Grupo Leal-Tex S.R.L.,MSMU-403459-8,11:21 Realizado,Contenedor,1,NB250155593         ,,
2025-05-15,Sk Distributors S.R.L.,ZCSU-275983-0,08:28 Realizado,Contenedor,1,HDE25-040004A/B     ,,
2025-05-15,Shipy S.A.,BSIU-840473-1,08:24 Realizado,Contenedor,1,                    ,,
2025-05-15,Shipy S.A.,EMCU-847896-6,08:24 Realizado,Contenedor,1,                    ,,
2025-05-15,Shipy S.A.,MAGU-525338-8,08:23 Realizado,Contenedor,1,                    ,,
2025-05-15,Compañia Bulk S.A.,EMCU-859281-3,08:32 Realizado,Contenedor,1,IBC1321824          ,,
2025-05-15,Jupam Sa,ONEU-075880-4,08:24 Realizado,Contenedor,1,SHIP001526          ,,
2025-05-15,Luial Sa,EGSU-111077-6,08:25 Realizado,Contenedor,1,                    ,,
2025-05-15,Neumaticos Bisso Srl,ZCSU-885307-8,08:52 Realizado,Contenedor,1,SY250357826         ,,
2025-05-15,Telamania Srl,FFAU-660416-6,09:18 Realizado,Rollos,1,GILNB241200977      ,,
2025-05-15,Mercovan Argentina Srl,TEMU-175517-8,13:49 Realizado,Bultos,1,HDMUSELM25153500    ,,
2025-05-15,Lift Van Int. Co S.A,HAMU-201897-6,13:50 Realizado,Bultos,1,HLCUME3250228298    ,,
2025-05-15,Lift Van Int. Co S.A,FANU-384358-2,13:50 Realizado,Bultos,1,HLCUME3250228298    ,,
2025-05-15,Juguetech Sa,ZCSU-765959-8,13:49 Realizado,Contenedor,1,HDE25-040004A/B     ,,
2025-05-16,Grupo Simpa Sa,ZCSU-279696-2,09:05 Realizado,Contenedor,1,HDE25-040004A/B     ,,
2025-05-16,Lift Van Int. Co S.A,HAMU-109493-0,09:45 Realizado,Bultos,1,HLCUBSC2503BEMK2    ,,
2025-05-16,Grupo Simpa Sa,TCLU-239849-0,09:07 Realizado,Contenedor,1,HDE25-040004A/B     ,,
2025-05-16,Mercovan Argentina Srl,CAIU-426028-7,09:11 Realizado,Bultos,1,HLCUGOA250228878    ,,
2025-05-16,Jupam Sa,TGBU-974215-6,08:24 Realizado,Contenedor,1,252195212           ,,
2025-05-16,Jupam Sa,EMCU-183223-4,08:22 Realizado,Contenedor,1,252195212           ,,
2025-05-16,La Tela Srl,FFAU-301034-5,09:54 Realizado,Contenedor,1,251372219           ,,
2025-05-16,La Tela Srl,MSDU-741605-2,09:53 Realizado,Contenedor,1,251372219           ,,
2025-05-16,Bulldog Solutions S.A.,EGHU-830050-0,09:52 Realizado,Rollos,1,NB240643700         ,,
2025-05-19,Chemotecnica Sa,BEAU-475091-0,09:00 Realizado,Contenedor,1,                    ,,
2025-05-19,Chemotecnica Sa,BEAU-466919-9,09:00 Realizado,Contenedor,1,                    ,,
2025-05-19,Chemotecnica Sa,ECMU-488356-0,09:00 Realizado,Contenedor,1,                    ,,
2025-05-19,Chemotecnica Sa,GESU-689690-1,09:00 Realizado,Contenedor,1,                    ,,
2025-05-19,Mercovan Argentina Srl,CAAU-822825-4,10:10 Realizado,Bultos,1,RIO001821RCS        ,,
2025-05-19,Telamania Srl,MEDU-893298-7,12:14 Realizado,Rollos,1,GILNB241100264      ,,
2025-05-20,Poka S.A.,EGHU-932997-8,09:03 Realizado,Contenedor,1,                    ,,
2025-05-20,Poka S.A.,EGSU-915628-5,09:03 Realizado,Contenedor,1,                    ,,
