orden,contenedor,buque,terminal,fecha,turno,peso,operacion,arribado,chapa_trac,bookings,tipo_oper,cliente,desc_merc,precinto,dimension,hora_ing,Contenedor2,Estado
29513,-,                              ,0,11/11,     ,0.00,TD,0,          ,BUA0331454,EXPORTACION,Lift Van Int. Co S.A                                                            ,ÁLVARO GARCIA // EFECTOS PERS                               ,                    ,0,     ,,Pendiente
29539,-,                              ,10080,11/11,     ,0.00,TD,0,          ,69978293,VACIO,Carpal Sa                                                                       ,                                                            ,                    ,40,     ,,Pendiente
29551,-,                              ,0,11/11,     ,0.00,TD,0,          ,EBKG10717060,EXPORTACION,Piranga Sa                                                                      ,GRLEM2412XX / EBKG10717060                                  ,                    ,0,     ,,Pendiente
29543,-,                              ,10080,11/11,     ,0.00,TD,0,          ,65311784,VACIO,Suabia Maderas Srl                                                              ,                                                            ,                    ,40,     ,,Pendiente
29542,-,                              ,10080,11/11,     ,0.00,TD,0,          ,65311784,VACIO,Suabia Maderas Srl                                                              ,                                                            ,                    ,40,     ,,Pendiente
29541,-,                              ,10080,11/11,     ,0.00,TD,0,          ,65311784,VACIO,Suabia Maderas Srl                                                              ,                                                            ,                    ,40,     ,,Pendiente
29512,-,                              ,0,11/11,     ,0.00,TD,0,          ,64311784,EXPORTACION,Suabia Maderas Srl                                                              ,GRLEM241286/ 64311784                                       ,                    ,0,     ,,Pendiente
29509,-,                              ,0,11/11,     ,0.00,TD,0,          ,340400039141,EXPORTACION,Isischu Srl                                                                     ,GRLEM241257/ 340400039141                                   ,                    ,0,     ,,Pendiente
29544,-,                              ,0,11/11,     ,0.00,TD,0,          ,24001EC01,EXPORTACION,Tipoiti Satic                                                                   ,EXPO 1608 HANDELS FC 1287                                   ,                    ,0,     ,,Pendiente
29538,-,                              ,10074,11/11,     ,0.00,TD,0,          ,LA0392406,VACIO,Tipoiti Satic                                                                   ,                                                            ,                    ,40,     ,,Pendiente
29510,-,                              ,0,11/11,     ,0.00,TD,0,          ,LA0392406,EXPORTACION,Tipoiti Satic                                                                   ,EXPO 1607 VICUNHA FC 1286                                   ,                    ,0,     ,,Pendiente
29511,-,                              ,0,11/11,     ,0.00,TD,0,          ,67979866,EXPORTACION,Mercopallet Srl                                                                 ,GRLEM241242/ 67979866                                       ,                    ,0,     ,,Pendiente
29549,-,                              ,10080,11/11,     ,0.00,TD,0,          ,246475685,VACIO,Minera Santa Rita Srl                                                           ,14-416                                                      ,                    ,40,     ,,Pendiente
29548,-,                              ,10080,11/11,     ,0.00,TD,0,          ,246475685,VACIO,Minera Santa Rita Srl                                                           ,14-416                                                      ,                    ,40,     ,,Pendiente
29547,-,                              ,10080,11/11,     ,0.00,TD,0,          ,246475685,VACIO,Minera Santa Rita Srl                                                           ,14-416                                                      ,                    ,40,     ,,Pendiente
29546,-,                              ,10080,11/11,     ,0.00,TD,0,          ,246475685,VACIO,Minera Santa Rita Srl                                                           ,14-416                                                      ,                    ,40,     ,,Pendiente
29545,-,                              ,10080,11/11,     ,0.00,TD,0,          ,246475685,VACIO,Minera Santa Rita Srl                                                           ,14-416                                                      ,                    ,40,     ,,Pendiente
29508,-,                              ,0,11/11,     ,0.00,TD,0,          ,246475685,EXPORTACION,Minera Santa Rita Srl                                                           ,246475685 // FACT 14-416                                    ,                    ,0,     ,,Pendiente
29401,-,                              ,0,11/11,0800 ,0.00,TD,0,          ,69314890,EXPORTACION,Minera Santa Rita Srl                                                           ,FACT 14-412                                                 ,                    ,0,     ,,Pendiente
29537,-,                              ,10080,11/11,     ,0.00,TD,0,          ,66982363,VACIO,Lift Van Int. Co S.A                                                            ,LIOR YONATAN                                                ,                    ,40,     ,,Pendiente
29540,-,                              ,10080,11/11,     ,0.00,TD,0,          ,69978293,VACIO,Carpal Sa                                                                       ,                                                            ,                    ,40,     ,,Pendiente
29507,-,                              ,0,11/11,     ,0.00,TD,0,          ,COSU6401000910,EXPORTACION,Don Satur Srl                                                                   ,INT 32844 //COSU6401000910                                  ,                    ,0,     ,,Pendiente
