Operacion,Cliente,Booking,Contenedor,Tipo CNT,Dias,e-tally
35721-0-1,Hdv Leather S.R.L.,254372274,HASU-503206-0,HC,211,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7564
36008-0-1,Aj Comercio Exterior Srl,25001EC01036139J,,,200,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=6052
40082-0-1,Manufactura Los Andes S.A.,13588186,HLBU-146035-0,DR,16,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28063
40396-0-1,Lawter Argentina S.A.,263008746,MRKU-467228-6,DR,14,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28215
40306-0-1,Chaguar Sociedad Anonima,17225872,HLBU-381332-8,DR,8,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28204
40308-0-1,Chaguar Sociedad Anonima,17225872,HLBU-275473-0,DR,8,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28205
40309-0-1,Chaguar Sociedad Anonima,17225872,HLBU-389538-9,DR,8,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28206
40310-0-1,Chaguar Sociedad Anonima,17225872,TEMU-159349-9,DR,8,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28207
40357-0-1,Mafralac Alimenticia Srl,ZIMUBUE9045961,JXLU-621014-9,HC,7,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28213
40358-0-1,Maringa Maderas Sa,33247364,SEGU-571806-8,HC,7,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28202
40395-0-1,Carpal Sa,EBKG15070368,FBLU-000913-0,HC,4,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28226
40383-0-1,Mafralac Alimenticia Srl,ZIMUBUE9045961,CAAU-714924-8,HC,4,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28214
40390-0-1,Forestal Guarani Sa,262400224,HASU-503631-6,HC,4,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28216
40393-0-1,Forestal Guarani Sa,262400224,MRKU-373673-0,HC,4,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28217
40422-0-1,Norfor Sa,340500052424,EITU-161905-6,HC,3,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28232
40442-0-1,Norfor Sa,340500052424,EGHU-917136-8,HC,3,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28237
40441-0-1,Norfor Sa,340500052424,EGSU-187697-2,HC,3,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28236
40440-0-1,Norfor Sa,340500052424,EMCU-887711-7,HC,3,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28235
40439-0-1,Carpal Sa,EBKG15070368,MSDU-650710-0,HC,3,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28234
40428-0-1,Hdv Leather S.R.L.,263387274,MRKU-537232-3,HC,3,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28225
40427-0-1,Hdv Leather S.R.L.,263387274,UETU-838854-8,HC,3,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28224
40424-0-1,Norfor Sa,340500052424,EITU-181324-6,HC,3,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28233
40420-0-1,Norfor Sa,340500052424,GAOU-637393-3,HC,3,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28231
40403-0-1,Norfor Sa,340500052424,EMCU-859076-5,HC,3,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28228
40415-0-1,Hdv Leather S.R.L.,263387274,GAOU-718270-0,HC,3,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28223
40413-0-1,Hdv Leather S.R.L.,263286933,MRSU-391284-7,HC,3,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28222
40412-0-1,Hdv Leather S.R.L.,263286933,MRSU-810355-2,HC,3,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28221
40411-0-1,Hdv Leather S.R.L.,263286933,UETU-854441-9,HC,3,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28220
40410-0-1,Norfor Sa,340500052408,GAOU-726356-6,HC,3,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28219
40408-0-1,Carpal Sa,EBKG15070368,CAAU-735843-8,HC,3,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28229
40405-0-1,Norfor Sa,340500052424,EGHU-954552-9,HC,3,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28218
40443-0-1,Norfor Sa,340500052386,EITU-919819-0,HC,3,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28238
40402-0-1,Norfor Sa,340500052424,TXGU-734388-5,HC,3,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28227
40416-0-1,Carpal Sa,EBKG15070368,TCNU-828332-4,HC,3,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28230
40444-0-1,Norfor Sa,340500052386,EGSU-976762-2,HC,3,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28239
