Fecha,Booking,Cliente,Cantidad,Dimension,Tipo,Contenedor,Precinto,Origen,Obs.,Estado,Peligrosa
18/08,274890053,Inter American Cargo Group Sa,1,40,FL,MAEU-348784-1,******,Trp - Terminales 1-2-3,Tara: 5200,09:44 Arribado,0
18/08,90310422,Lift Van Int. Co S.A,1,40,DR,-,,Exolgan,"Eriksson, Michael",Pendiente,0
18/08,BUA0375805,Prosal S.A.,1,40,HC,CMAU-346347-2,k1234588,Hiperbaires - Icb T.Sur,Tara: 3700,09:21 Arribado,0
18/08,BUA0375805,Prosal S.A.,1,40,HC,CMAU-363805-6,k1234646,Hiperbaires - Icb T.Sur,Tara: 3700,11:16 Arribado,0
18/08,BUA0375805,Prosal S.A.,1,40,HC,ECMU-756825-8,k1234626,Hiperbaires - Icb T.Sur,Tara: 3700,10:35 Arribado,0
18/08,BUA0375805,Prosal S.A.,1,40,HC,HPCU-536868-6,k1234631,Hiperbaires - Icb T.Sur,Tara: 3700,11:00 Arribado,0
18/08,BUA0375805,Prosal S.A.,1,40,HC,TIIU-774974-1,K1234614,Hiperbaires - Icb T.Sur,Tara: 3700,11:26 Arribado,0
18/08,BUA0375829,Prosal S.A.,1,40,HC,-,,Hiperbaires - Icb T.Sur,28600,Pendiente,0
18/08,BUA0375829,Prosal S.A.,1,40,HC,ECMU-501513-0,K1234587,Hiperbaires - Icb T.Sur,28600 - Tara: 3700,09:19 Arribado,0
18/08,BUA0375829,Prosal S.A.,1,40,HC,ECMU-515787-5,k1234585,Hiperbaires - Icb T.Sur,28600 - Tara: 3700,09:30 Arribado,0
18/08,BUA0375829,Prosal S.A.,1,40,HC,TCNU-540451-0,k1234639,Hiperbaires - Icb T.Sur,28600 - Tara: 3840,11:35 Arribado,0
18/08,BUA0375829,Prosal S.A.,1,40,HC,TIIU-758367-1,k1234607,Hiperbaires - Icb T.Sur,28600 - Tara: 3700,11:50 Arribado,0
18/08,BUA0375872,Prosal S.A.,2,40,HC,-,,Hiperbaires - Icb T.Sur,28600,Pendiente,0
18/08,BUA0375872,Prosal S.A.,1,40,HC,CMAU-356173-5,K1234557,Hiperbaires - Icb T.Sur,28600 - Tara: 3700,08:51 Arribado,0
18/08,BUA0375872,Prosal S.A.,1,40,HC,ECMU-480407-2,K1234680,Hiperbaires - Icb T.Sur,28600 - Tara: 3700,13:39 Arribado,0
18/08,BUA0375872,Prosal S.A.,1,40,HC,ECMU-514025-5,k1234665,Hiperbaires - Icb T.Sur,28600 - Tara: 3700,10:43 Arribado,0
18/08,BUA0375872,Prosal S.A.,1,40,HC,FFAU-766474-5,K1234630,Hiperbaires - Icb T.Sur,28600 - Tara: 3700,10:25 Arribado,0
18/08,BUA0375872,Prosal S.A.,1,40,HC,HPCU-537579-3,K1234628,Hiperbaires - Icb T.Sur,28600 - Tara: 3700,10:59 Arribado,0
18/08,BUA0375872,Prosal S.A.,1,40,HC,TCKU-714391-4,K1234604,Hiperbaires - Icb T.Sur,28600 - Tara: 3700,14:20 Arribado,0
18/08,BUA0375872,Prosal S.A.,1,40,HC,TCNU-163468-5,K1234657,Hiperbaires - Icb T.Sur,28600 - Tara: 3700,11:36 Arribado,0
18/08,BUA0375872,Prosal S.A.,1,40,HC,TCNU-320598-8,k1234623,Hiperbaires - Icb T.Sur,28600 - Tara: 3700,11:29 Arribado,0
18/08,BUA0377056,Sohcum S.A.,1,40,HC,-,,Hiperbaires - Icb T.Sur,,Pendiente,0
18/08,BUA0377439,Hilado Sa,1,40,HC,CMAU-576789-6,K1234632,Hiperbaires - Icb T.Sur,28600 - Tara: 3860,10:51 Arribado,0
18/08,BUA0377439,Hilado Sa,1,40,HC,TCKU-628860-0,K1234605,Hiperbaires - Icb T.Sur,28600 - Tara: 3700,11:19 Arribado,0
19/08,275463678,Mader Zu S.R.L.,5,40,HC,-,,Huxley Sa,28600,Pendiente,0
19/08,275601182,Borax Argentina S A,3,20,DR,-,,Huxley Sa,,Pendiente,0
19/08,BUA0375184,Placas Rivadavia S.R.L.,3,40,HC,-,,Terminal 7,28600,Pendiente,0
19/08,BUA0375185,Placas Rivadavia S.R.L.,3,40,HC,-,,Terminal 7,28600,Pendiente,0
19/08,BUA0376178,Sandrin Paola Karina,3,40,HC,-,,Hiperbaires - Icb T.Sur,,Pendiente,0
19/08,ZIMUBUE9052527,Lawter Argentina S.A.,4,40,HC,-,,Hiperbaires - Icb T.Sur,,Pendiente,0
20/08,EBKG18088682,Isischu Srl,3,40,HC,-,,Exolgan,,Pendiente,0
21/08,275716037,Lawter Argentina S.A.,1,40,HC,-,,Huxley Sa,,Pendiente,0
26/08,FACT13568,Borax Argentina S A,3,20,DR,-,,Exolgan,,Pendiente,0
