Fecha,Operacion,Contenedor,Cliente,Booking,Precinto,Estado,e-tally
2026-01-02,40929,UACU-398026-7,Mercovan Argentina S...,31237112,***********         ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28317
2026-01-05,40977,UACU-840499-0,Mercovan Argentina S...,34891821,*********           ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28332
2026-05-20,43856,HLXU-535661-3,Mercovan Argentina S...,34997754,****************    ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=29315
2026-05-27,43995,MEDU-685160-7,Mercovan Argentina S...,LA0494519,***************     ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=29354
2026-06-01,44101,MRKU-015010-7,Mercovan Argentina S...,270349706,**********          ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=29388
2026-05-12,43714,TGBU-588043-4,Mercovan Argentina S...,26486687,**********          ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=29270
2026-05-15,43774,MSBU-203243-7,Mercovan Argentina S...,LA0493190,************        ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=29280
2026-04-28,43468,MSKU-563190-9,Mercovan Argentina S...,269690023,**************      ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=29204
2026-04-28,43471,MRKU-949816-1,Mercovan Argentina S...,269509687,************        ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=29206
2026-05-06,43615,UETU-283007-7,Mercovan Argentina S...,37752311,**************      ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=29248
2026-03-27,42930,HLXU-538809-8,Mercovan Argentina S...,20975885,**************      ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=29076
2026-03-13,42629,HASU-405406-4,Mercovan Argentina S...,266745333,**********          ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28986
2026-03-17,42736,GESU-108813-5,Mercovan Argentina S...,10731513,*********           ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=29036
2026-03-18,42789,CAIU-356240-4,Mercovan Argentina S...,92033560,*************       ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=29042
2026-03-11,42571,HLBU-153726-2,Mercovan Argentina S...,40824842,**********          ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28969
2026-03-12,42587,,Mercovan Argentina S...,26001PE01000046L,                    ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=6052
2026-03-13,42616,MRKU-756204-5,Mercovan Argentina S...,266608962,***********         ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28987
2026-03-13,42617,TCLU-231872-4,Mercovan Argentina S...,266609035,***********         ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28994
2026-03-13,42618,MRKU-804263-9,Mercovan Argentina S...,266608779,**********          ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28988
2026-01-26,41417,HLXU-537691-8,Mercovan Argentina S...,38917894,**********          ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28435
2026-02-04,41673,NIDU-230850-2,Mercovan Argentina S...,38040089,***********         ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28553
2026-02-10,41874,DFSU-161737-2,Mercovan Argentina S...,20479953,*************       ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28614
2025-12-18,40514,TLLU-279650-5,Lift Van Int. Co S.A,BUA0357167,K1267638            ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28196
2025-12-30,40901,HLXU-836833-0,Lift Van Int. Co S.A,34233893,************        ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=28304
2026-06-05,44153,TTNU-584955-5,Lift Van Int. Co S.A,LA0496236,**********          ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=29406
2026-06-05,44195,FCIU-656014-7,Lift Van Int. Co S.A,45398305,******              ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=29408
2026-05-27,44020,TCLU-305533-0,Lift Van Int. Co S.A,LA0494103,***********         ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=29355
2026-06-01,44078,TCLU-214857-2,Lift Van Int. Co S.A,LA0495132,************        ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=29384
2026-06-01,44123,UACU-391837-9,Lift Van Int. Co S.A,14549424,***********         ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=29391
2026-04-22,43346,,Lift Van Int. Co S.A,26001PE1000088R,                    ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=6052
2026-04-22,43347,,Lift Van Int. Co S.A,26001PER1000170U,                    ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=6052
2026-05-19,43857,,Lift Van Int. Co S.A,26001PE01000111E,                    ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=6052
2026-04-09,43107,,Lift Van Int. Co S.A,26001PER1000141S,                    ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=6052
2026-04-10,43128,TRHU-319502-9,Lift Van Int. Co S.A,11112923,*************       ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=29112
2026-04-20,43249,MSNU-288423-5,Lift Van Int. Co S.A,LA0488294,*********           ,Arribado,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=29176
