Fecha,Turno,Terminal,Contenedor,Cliente,Booking,Operacion,Fecha Ingreso,idcont,e-tally
2025-03-13,15:00,TRP,CSNU-402528-6,Mercovan Argentina Srl,OOLU2755584730,TD,2025-03-13,1565,http://dassa.mqbic.com/PublicTally.php?id=1565
2025-06-26,13:00,TRP,KOCU-208805-0,Mercovan Argentina Srl,HDMUSELM08005800,TD,2025-06-26,2067,http://dassa.mqbic.com/PublicTally.php?id=2067
2025-07-01,13:00,TRP,OCGU-208618-1,Mercovan Argentina Srl,ONEYLISF01695600,TD,2025-07-01,2093,http://dassa.mqbic.com/PublicTally.php?id=2093
2025-07-02,05:00,Exolgan,HLBU-134303-5,Mercovan Argentina Srl,HLCUTOR250432496,TD,2025-07-02,2098,http://dassa.mqbic.com/PublicTally.php?id=2098
2025-07-10,15:00,Exolgan,HLBU-346960-8,Mercovan Argentina Srl,HLCUME3250474558,TD,,,
2025-07-10,10:00,Terminal 4,MRKU-109476-0,Mercovan Argentina Srl,253862854,TD,,,
2025-06-02,15:00,Exolgan,HAMU-323738-8,Mercovan Argentina Srl,HLVULE1250445319,TD,2025-06-02,1956,http://dassa.mqbic.com/PublicTally.php?id=1956
2025-06-09,15:00,Exolgan,HLBU-338145-6,Mercovan Argentina Srl,HLCULE1250446282,TD,2025-06-10,1981,http://dassa.mqbic.com/PublicTally.php?id=1981
2025-06-10,07:00,Terminal 4,JXJU-323306-8,Mercovan Argentina Srl,ZIMUCRT909268,TD,2025-06-10,1984,http://dassa.mqbic.com/PublicTally.php?id=1984
2025-06-30,14:00,Terminal 4,UACU-371035-9,Mercovan Argentina Srl,HLCUBSC2505AWZX0,TD,2025-06-30,2078,http://dassa.mqbic.com/PublicTally.php?id=2078
2025-05-07,05:00,Exolgan,HLBU-356069-9,Mercovan Argentina Srl,HLCUPTY250345961,TD,2025-05-07,1800,http://dassa.mqbic.com/PublicTally.php?id=1800
2025-05-09,10:00,TRP,CMAU-831928-3,Mercovan Argentina Srl,IBC1321824,TD,2025-05-09,1808,http://dassa.mqbic.com/PublicTally.php?id=1808
2025-05-13,15:00,TRP,PCIU-012199-6,Mercovan Argentina Srl,SEL500063800,TD,2025-05-13,1837,http://dassa.mqbic.com/PublicTally.php?id=1837
2025-05-13,15:00,Exolgan,MEDU-514724-0,Mercovan Argentina Srl,MEDUOJ957184,TD,2025-05-13,1846,http://dassa.mqbic.com/PublicTally.php?id=1846
2025-05-13,15:00,Exolgan,MEDU-514724-0,Mercovan Argentina Srl,MEDUOJ957184,TD,2025-05-13,1846,http://dassa.mqbic.com/PublicTally.php?id=1846
2025-05-23,05:00,Exolgan,SEGU-364018-7,Mercovan Argentina Srl,HLUSPIL250300027,TD,2025-05-23,1888,http://dassa.mqbic.com/PublicTally.php?id=1888
2025-04-28,11:00,TRP,CAAU-822825-4,Mercovan Argentina Srl,RIO001821RCS,TD,2025-04-28,1749,http://dassa.mqbic.com/PublicTally.php?id=1749
2025-04-28,09:00,TRP,TLLU-209190-0,Mercovan Argentina Srl,NVT013471RCS,TD,2025-04-28,1750,http://dassa.mqbic.com/PublicTally.php?id=1750
