Dia,Cliente,Contenedor,Observaciones,Volumen,Cantidad,Kilos
06/01,Norfor Sa,FCIU-846975-6,-,60,14,27530
06/01,Norfor Sa,MSNU-908988-0,-,60,14,27530
06/01,Norfor Sa,TRHU-505055-4,-,60,12,25667
06/01,Norfor Sa,MSMU-783169-8,EXOLGAN  13HS,60,12,25667
06/01,Norfor Sa,MSMU-807600-9,-,60,12,25667
07/01,Capilatis S.A.,CMAU-836147-3,-,58,19,10813
07/01,Capilatis S.A.,CMAU-482423-0,-,62,20,11382
07/01,Forestal Y Ganadera ...,HLBU-186965-2,-,63,63,23572
07/01,Pelama Chubut S.A.,TCLU-748363-4,-,30,34,14408
07/01,Forestal Y Ganadera ...,HAMU-124235-9,-,57,57,21328
07/01,Lift Van Int. Co S.A,CLHU-453213-2,-,41,205,3720
