Contenedor,CARGADO,CONTENEDOR DE LINEA,CONOCIMIENTO,DETALLE,CLIENTE,OBSERVACION
MEDU-816620-1,NO,,,,,
FSCU-991708-9,NO,,,,,
CNIU-246398-1,NO,,,,,
DOWU-401112-7,NO,,,,,
WSCU-784342-5,SI,,,LOTE 2858,Arleather,CUERO
AMFU-880694-8,SI,,,LOTE 2934,Arleather,CUERO
INKU-662011-9,SI,,, LOTE 2960,Arleather,CUERO
DOWU-400828-9,SI,,,LOTE 2880,Arleather,CUERO
TRLU-718576-8,SI,,,LOTE 2930,Arleather,CUERO
MSCU-588584-3,si,,,LOTE 2843,Arleather,CUERO
INKU-662388-5,SI,,,LOTE 2922,Arleather,CUERO
CAIU-812404-1,si,,,LOTE 2928,Arleather,CUERO
GLDU-740011-8,SI,,,LOTE 2917,Arleather,CUERO
MSCU-588584-3,si,,25001EC01026113A,LOTE 2843,Hdv Leather,CUERO
WSCU-788892-3,SI,,25001EC01026113A,LOTE 2918,Hdv Leather,CUERO
TRLU-824950-6,SI,*,25001EC01026113A,LOTE 2786,Hdv Leather,CUERO
ZCSU-865869-9,SI,,25001EC01026113A,LOTE 2920,Hdv Leather,CUERO
MSCU-917110-3,SI,,25001EC01026113A,LOTE 2829,Hdv Leather,CUERO
MSCU-599262-5,SI,,25001EC01026791M,LOTE 2966,Hdv Leather,CUERO
ZCSU-869794-6,SI,,25001EC01026791M,LOTE 2967,Hdv Leather,CUERO
TRLU-586385-0,SI,,25001EC01026791M,LOTE 2792,Hdv Leather,CUERO
CAIU-818268-6,SI,,25001EC01024551E,LOTE 2885,Hdv Leather,CUERO
CAIU-870213-4,SI,,25001EC01024551E,LOTE 2913,Hdv Leather,CUERO
ZCSU-823568-1,SI,,25001EC01026032A,LOTE 2937,Hdv Leather,CUERO
WSCU-718080-5,SI,,25001EC01026032A,LOTE 2940,Hdv Leather,CUERO
,,,,,,
NEXU-951462-1,SI,FCIU9883400,SHE180105015,,Leave It,
MSCU-953127-8,SI,TRHU-136691-9 / TRHU-267893-2,697792 // 00697804,,Houghton,
MSCU-767208-7,SI,BSIU-966307-0,NB240745153,,Malu Ma Tex S.A.,
INKU-238851-4,SI,BMOU-544939-9,NB240746312,,Buldog,
MSCU-723496-4,SI,BMOU-496457-9,NB240745801,,Malu Ma Tex S.A.,ROLLOS
MAGU-510057-9,SI,ONEU-109744-2,NB240949474,,Jupam,
FCIU-832466-5,SI,ONEU-021420-4,NB240948328,,Jupam,
GLDU-749818-0,SI,TCNU-522923-2,NB240848061                   ,,Jupam,
WSCU-758168-6,SI,MSNU-956125-5,NBOE24010650  ,,Telamania Srl,ROLLOS
NYKU-441060-9,SI,MSBU-650966-2,GILNB241000501,,Telamania Srl,ROLLOS
MSCU-494456-1,SI,KOCU 434561-9,TWLE24100054,,Novelty Trend Srl,419 ROLLOS
NEXU-952099-0,SI,MEDU8932987,GILNB241100264,,Telamania Srl,ROLLOS
TRLU-722608-6,SI,TGBU-743656-3,NB240746310,,Grupo In 360,ROLLOS
CAIU-867091-0,SI,MSMU7919460,GILNB241001332,,Telamania Srl,ROLLOS
MSCU-567353-0,SI,UETU 649600-8,NBOE24011092,,Telamania Srl,ROLLOS
TCNU7653297,SI,    EISU-947077-2,HDE25-010028,,Mma Tex S.A.,ROLLOS
TCNU7438041,SI,FFAU-660416-6,GILNB241200977                ,,Telamania Srl,ROLLOS
TRLU-714956-5,SI,TGBU-405393-5,NBOE25012669,,Jakytextil,ROLLOS
TRLU-759912-0,SI,TXGU 550686-0,NB250155950,,Buldog,ROLLOS
TRLU-709399-6,SI,EMCU 171160-7,NB250155733,,Grupo In 360,ROLLOS
DFSU-608421-3,SI,TIIU-470327-0,NB250155715,,Buldog,ROLLOS
GESU-568784-6,SI,CMAU-834718-2,NGP2126280,,Dpmg,garrafas
INKU-674193-3,si,CMAU-827613-4,NGP2126280,,Dpmg,garrafas
MSCU-993821-6,NO,,,,,
FCIU-804207-0,NO,,,,,
MSCU-728907-8,NO,,,,,
TCLU-801993-1,NO,,,,,
CAIU-877576-3,NO,,,,,
TCLU-833719-3,NO,,,,,
MSCU-592311-5,NO,,,,,
TCNU-731668-1,NO,,,,,
SARU-001356-8,NO,,,,,
TRLU-699992-3,NO,,,,,
TRLU-688159-2,NO,,,,,
WSCU-955240-8,NO,,,,,
