Razon Social,Neto,Importe Total
Bisora Group Sa,"$33.750.001,00","$40.837.501,21"
Grupo Leal-Tex S.R.L.,"$16.441.700,25","$19.894.457,30"
Vestiditos Sa,"$12.728.750,00","$15.401.787,50"
Chelatex Sas,"$12.445.943,25","$15.059.591,33"
Jakytextil S.A.,"$8.624.645,50","$10.435.821,06"
E A Balbi E Hijos S A,"$7.014.510,00","$8.487.557,10"
Domatel S. R. L.,"$5.886.790,00","$7.123.015,90"
Grapot Sa,"$4.863.535,00","$5.884.877,35"
Xiadex Srl,"$3.843.985,00","$4.651.221,85"
Mazon Textil Sa,"$3.843.100,00","$4.650.151,00"
Ledorot S.A.,"$1.352.778,00","$1.636.861,38"
Parnacar S.A,"$1.143.705,00","$1.383.883,05"
Blanco Buenos Aires S.A.,"$1.119.625,00","$1.354.746,25"
