Dia,Hora,Tipo Turno,Operacion,Cliente,Contenedor,Envase,Cant.,Volumen,Ubic.,Estado,idcont,e-tally
2025-10-30,8:30 ,Remision,39096-2-1,Refractarios Argenti...,MSMU-237266-2,Bultos,20,-30,IB3,Pendiente,2951,http://dassaweb.mqbic.com/PublicTally.php?id=2951
2025-12-23,9:00 ,Remision,39976-1-1,Edelweiss Spedition ...,MRKU-845493-4,Bultos,105,-15,IB9,Pendiente,3423,http://dassaweb.mqbic.com/PublicTally.php?id=3423
2025-12-23,9:00 ,Remision,39976-1-1,Edelweiss Spedition ...,MRKU-845493-4,Bultos,105,-15,IB9,Pendiente,3423,http://dassaweb.mqbic.com/PublicTally.php?id=3423
2025-12-23,9:00 ,Remision,39976-1-1,Edelweiss Spedition ...,MRKU-845493-4,Bultos,105,-15,IB9,Pendiente,3423,http://dassaweb.mqbic.com/PublicTally.php?id=3423
2025-12-23,9:00 ,Remision,39976-1-1,Edelweiss Spedition ...,MRKU-845493-4,Bultos,105,-15,IB9,Pendiente,3423,http://dassaweb.mqbic.com/PublicTally.php?id=3423
2025-12-23,9:00 ,Remision,39976-1-1,Edelweiss Spedition ...,MRKU-845493-4,Bultos,105,-15,IB9,Pendiente,3423,http://dassaweb.mqbic.com/PublicTally.php?id=3423
2025-12-23,9:00 ,Remision,39976-1-1,Edelweiss Spedition ...,MRKU-845493-4,Bultos,105,-15,IB9,Pendiente,3423,http://dassaweb.mqbic.com/PublicTally.php?id=3423
2025-12-23,9:00 ,Remision,39976-1-1,Edelweiss Spedition ...,MRKU-845493-4,Bultos,105,-15,IB9,Pendiente,3423,http://dassaweb.mqbic.com/PublicTally.php?id=3423
2025-12-23,9:00 ,Remision,39976-1-1,Edelweiss Spedition ...,MRKU-845493-4,Bultos,105,-15,IB9,Pendiente,3423,http://dassaweb.mqbic.com/PublicTally.php?id=3423
2025-12-23,9:00 ,Remision,39976-1-1,Edelweiss Spedition ...,MRKU-845493-4,Bultos,105,-15,IB9,Pendiente,3423,http://dassaweb.mqbic.com/PublicTally.php?id=3423
2025-12-23,9:00 ,Remision,39976-1-1,Edelweiss Spedition ...,MRKU-845493-4,Bultos,105,-15,IB9,Pendiente,3423,http://dassaweb.mqbic.com/PublicTally.php?id=3423
2025-12-23,9:00 ,Remision,39976-1-1,Edelweiss Spedition ...,MRKU-845493-4,Bultos,105,-15,IB9,Pendiente,3423,http://dassaweb.mqbic.com/PublicTally.php?id=3423
2025-12-23,9:00 ,Remision,39976-1-1,Edelweiss Spedition ...,MRKU-845493-4,Bultos,105,-15,IB9,Pendiente,3423,http://dassaweb.mqbic.com/PublicTally.php?id=3423
2025-12-23,9:00 ,Remision,39976-1-1,Edelweiss Spedition ...,MRKU-845493-4,Bultos,105,-15,IB9,Pendiente,3423,http://dassaweb.mqbic.com/PublicTally.php?id=3423
2025-12-23,9:00 ,Remision,39976-1-1,Edelweiss Spedition ...,MRKU-845493-4,Bultos,105,-15,IB9,Pendiente,3423,http://dassaweb.mqbic.com/PublicTally.php?id=3423
2025-12-23,9:00 ,Remision,39976-1-1,Edelweiss Spedition ...,MRKU-845493-4,Bultos,105,-15,IB9,Pendiente,3423,http://dassaweb.mqbic.com/PublicTally.php?id=3423
2025-12-23,9:00 ,Remision,39976-1-1,Edelweiss Spedition ...,MRKU-845493-4,Bultos,105,-15,IB9,Pendiente,3423,http://dassaweb.mqbic.com/PublicTally.php?id=3423
2025-12-23,9:00 ,Remision,39976-1-1,Edelweiss Spedition ...,MRKU-845493-4,Bultos,105,-15,IB9,Pendiente,3423,http://dassaweb.mqbic.com/PublicTally.php?id=3423
2025-12-23,9:00 ,Remision,39976-1-1,Edelweiss Spedition ...,MRKU-845493-4,Bultos,105,-15,IB9,Pendiente,3423,http://dassaweb.mqbic.com/PublicTally.php?id=3423
2025-12-23,9:00 ,Remision,39976-1-1,Edelweiss Spedition ...,MRKU-845493-4,Bultos,105,-15,IB9,Pendiente,3423,http://dassaweb.mqbic.com/PublicTally.php?id=3423
2025-12-23,9:00 ,Remision,39976-1-1,Edelweiss Spedition ...,MRKU-845493-4,Bultos,105,-15,IB9,Pendiente,3423,http://dassaweb.mqbic.com/PublicTally.php?id=3423
2025-12-23,9:00 ,Remision,39976-1-1,Edelweiss Spedition ...,MRKU-845493-4,Bultos,105,-15,IB9,Pendiente,3423,http://dassaweb.mqbic.com/PublicTally.php?id=3423
2025-12-23,9:00 ,Remision,39976-1-1,Edelweiss Spedition ...,MRKU-845493-4,Bultos,105,-15,IB9,Pendiente,3423,http://dassaweb.mqbic.com/PublicTally.php?id=3423
2025-12-23,9:30 ,Remision,40003-1-1,Arbrex Commercial Gr...,MRKU-939857-9,Bultos,307,17,IB9,Pendiente,3429,http://dassaweb.mqbic.com/PublicTally.php?id=3429
2025-12-23,9:30 ,Remision,40003-1-1,Arbrex Commercial Gr...,MRKU-939857-9,Bultos,307,17,IB9,Pendiente,3429,http://dassaweb.mqbic.com/PublicTally.php?id=3429
2026-01-22,9:30 ,Remision,40631-1-1,Telamania Srl,TGBU-486203-5,Bultos,748,68,IA8/IB7,Pendiente,3692,http://dassaweb.mqbic.com/PublicTally.php?id=3692
2026-02-05,8:00 ,Remision,40877-1-1,Lift Van Int. Co S.A,BEAU-213141-3,Bultos,99,30,NV2,Pendiente,3827,http://dassaweb.mqbic.com/PublicTally.php?id=3827
