Dia,Cliente,Contenedor,Volumen,Precinto,Observaciones,Estado,e-tally
2025-10-30,Chaguar Sociedad Ano...,MSDU-290937-5,0,---,EXOLGAN  07HS A 10HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27701
2025-10-30,Chaguar Sociedad Ano...,MSDU-153437-7,0,---,EXOLGAN  07HS A 10HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27702
2025-10-30,Chaguar Sociedad Ano...,MSMU-148165-3,0,---,EXOLGAN  10HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27703
2025-10-30,Forestal Y Ganadera ...,MRSU-617029-5,0,---,TERMINAL 4  13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27682
2025-10-30,Lift Van Int. Co S.A,CAAU-827265-8,0,---,TERMINAL  4 13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17594
2025-10-30,Lift Van Int. Co S.A,MRKU-225456-4,0,---,TERMINAL 4   13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17595
2025-10-30,Maringa Maderas Sa,BEAU-501380-0,0,---,TERMINAL 4 13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27697
2025-10-30,J. Llorente Y Cía. S...,TGBU-606328-0,0,---,EXOLGAN   13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27687
2025-10-30,Forestal Guarani Sa,CAAU-917523-0,0,---,TERMINAL 4   15HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27705
2025-10-30,Forestal Guarani Sa,MRSU-825182-1,0,---,TERMINAL 4  15HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27706
2025-10-30,Capilatis S.A.,HLBU-316000-7,0,---,MULTIMODAL CHILE,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27698
2025-10-30,Capilatis S.A.,FANU-376694-8,0,---,MULTIMODAL CHILE,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27699
2025-10-30,Capilatis S.A.,HAMU-435371-5,0,---,MULTIMODAL CHILE,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27700
2025-10-30,Curtiembre Infante S...,PCIU-934711-4,0,---,TRP  19HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27668
2025-10-30,Curtiembre Infante S...,PIDU-417016-3,0,---,TRP  19HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27669
2025-10-30,Forestal Guarani Sa,MRKU-255659-0,0,---,TERMINAL 4   09HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27683
2025-10-06,Mader Zu S.R.L.,TRHU-475286-0,0,---,EXOLGAN      10HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7523
2025-10-06,Mader Zu S.R.L.,HAMU-456321-8,0,---,EXOLGAN   10HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7524
2025-10-06,Borax Argentina S A,SUDU-790810-7,0,---,TERMINAL 4  13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7508
2025-10-06,Borax Argentina S A,TGHU-258241-7,0,---,TERMINAL 4  13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7509
2025-10-06,Borax Argentina S A,GCXU-256167-8,0,---,TERMINAL4   13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7519
2025-10-06,Hilado Sa,MSKU-892269-9,0,---,TERMINAL  4  19HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7521
2025-10-06,Hilado Sa,MSKU-157154-5,0,---,TERMINAL 4   19HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7522
2025-10-06,Hilado Sa,MRKU-294875-5,0,---,TERMINAL 4   19HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7525
2025-10-08,Mader Zu S.R.L.,BSIU-950113-0,0,---,TRP   17HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7547
2025-10-08,Mader Zu S.R.L.,EGHU-982828-3,0,---,TRP   17HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7548
2025-10-08,Mader Zu S.R.L.,EMCU-998296-6,0,---,TRP   17HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7549
2025-10-08,Taeda Sa,FFAU-568461-3,0,---,EXOLGAN   10HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7550
2025-10-08,Henn Y Cia S.R.L.,TGBU-980337-5,-60,---,TRP 11HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7511
2025-10-08,Henn Y Cia S.R.L.,ONEU-123056-0,-60,---,TRP 11HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7512
2025-10-08,Henn Y Cia S.R.L.,FFAU-737768-4,-60,---,TRP 11HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7513
2025-10-08,Henn Y Cia S.R.L.,ONEU-643740-0,-60,---,TRP 11HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7514
2025-10-08,Alami Flejes De Prec...,AXIU-847096-4,0,---,T4 21HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7563
2025-10-07,Sandrin Paola Karina,GAOU-753704-0,0,---,EXOLGAN  13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7528
2025-10-07,Pallets Nef De Raul ...,FFAU-141828-2,0,---,EXOLGAN   10HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7526
2025-10-07,Pallets Nef De Raul ...,ONEU-575015-4,0,---,EXOLGAN   10HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7527
2025-10-07,Pallets Nef De Raul ...,FFAU-606073-5,0,---,EXOLGAN  10HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7534
2025-10-07,Hdv Leather S.R.L.,TCKU-744775-3,0,---,T4 13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7506
2025-10-07,Hdv Leather S.R.L.,TCNU-672616-7,0,---,T4 13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7507
2025-10-07,Mercovan Argentina S...,BMOU-140430-7,-20,---,t4 15hs,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7520
2025-10-09,Hector Reboratti,MRSU-729959-0,0,---,T4    11HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17537
2025-10-09,Hector Reboratti,MSKU-863022-8,0,---,T4 11HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17538
2025-10-09,Hector Reboratti,MSKU-863022-8,0,---,T4 11HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7552
2025-10-09,Mercovan Argentina S...,TCKU-472029-4,0,---,EXOLGAN 13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7540
2025-10-09,Henn Y Cia S.R.L.,TGHU-081524-8,0,---,EXOLGAN 16HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7541
2025-10-09,Henn Y Cia S.R.L.,MSNU-309670-5,0,---,EXOLGAN 16HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7542
2025-10-09,Henn Y Cia S.R.L.,MSMU-162654-6,0,---,,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7543
2025-10-09,Henn Y Cia S.R.L.,MSNU-106728-8,0,---,EXOLGAN 16HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7544
2025-10-09,Henn Y Cia S.R.L.,MEDU-255302-9,0,---,EXOLGAN 16HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7545
2025-10-09,Henn Y Cia S.R.L.,MSMU-167630-0,0,---,exolgan 22hs,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7558
2025-10-09,Henn Y Cia S.R.L.,MSDU-133390-0,0,---,exolgan 22HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7559
2025-10-09,Henn Y Cia S.R.L.,MEDU-677345-9,0,---,EXOLGAN 22HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7560
2025-10-09,Henn Y Cia S.R.L.,MSMU-247628-7,0,---,EXOLGAN 22HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7561
