Dia,Cliente,Conocim.,Contenedor,Envase,Cant.,Volumen,Ubic.,Estado,idcont,e-tally
2025-02-24,Grouport Srl,ONEYNB4BTC602600,FSCU-573081-8,Bultos,253,-10,IB7,Pendiente,1320,http://dassa.mqbic.com/PublicTally.php?id=1320
2025-02-24,Telamania Srl,NBOE24011093,MSMU-736532-6,Contenedor,1,0,PLZA,Pendiente,,
2025-02-24,Telamania Srl,NBOE24011091,CAIU-869529-3,Contenedor,1,0,PLZA,Pendiente,,
2025-02-25,Lift Van Int. Co S.A,LIFBUE25010012,UETU-412924-0,Bultos,301,-60,IB9,Pendiente,1251,http://dassa.mqbic.com/PublicTally.php?id=1251
2025-02-25,Shipy S.A.,TSSZ2501004,EISU-940631-0,Contenedor,1,0,PLZA,Pendiente,,
2025-02-25,Shipy S.A.,TSSZ2501004,TCNU-526129-7,Contenedor,1,0,PLZA,Pendiente,,
2025-02-25,Compañia Bulk S.A.,SY241254056,TGBU-529046-4,Contenedor,1,0,PLZA,Pendiente,,
2025-02-25,Grapot Sa,SHOE24007436,MSBU-510409-0,Contenedor,1,0,PLZA,Pendiente,,
2025-02-25,Grass S. R. L.,BVNEA2411009,PIDU-423040-5,Contenedor,1,0,PLZA,Pendiente,,
2025-02-25,Grass S. R. L.,BVNEA2411009,TIIU-405137-7,Contenedor,1,0,PLZA,Pendiente,,
2025-02-25,Mma Tex S.A.,HDE25-010098,EGHU-987887-5,Contenedor,1,0,PLZA,Pendiente,,
2025-02-25,Grouport Srl,BQDFL24060372,TTNU-829849-8,Bultos,80,-15,IB8,Pendiente,669,http://dassa.mqbic.com/PublicTally.php?id=669
2025-02-25,Edelweiss Spedition ...,11STO25,             ,Bultos,106,-20,NV3,Pendiente,,
2025-02-26,Breyer Hnos S A,DLSZ24120451,ZCSU-792871-6,Bultos,794,-70,NV1,Pendiente,1353,http://dassa.mqbic.com/PublicTally.php?id=1353
2025-02-26,Compañia Bulk S.A.,SY241254009,CMAU-891338-2,Contenedor,1,0,PLZA,Pendiente,,
2025-02-26,Compañia Bulk S.A.,SY241254009,TCNU-362604-0,Contenedor,1,0,PLZA,Pendiente,,
2025-02-26,Edelweiss Spedition ...,EDWBUE25020001,HLXU-534472-0,Bultos,177,-40,ANEX-A1,Pendiente,1281,http://dassa.mqbic.com/PublicTally.php?id=1281
2025-02-26,Edelweiss Spedition ...,EDWBUE25020001,HLXU-534472-0,Bultos,177,-40,ANEX-A1,Pendiente,1281,http://dassa.mqbic.com/PublicTally.php?id=1281
2025-02-26,Edelweiss Spedition ...,EDWBUE25020001,HLXU-534472-0,Bultos,177,-40,ANEX-A1,Pendiente,1281,http://dassa.mqbic.com/PublicTally.php?id=1281
2025-02-26,Universal Cargo Srl,01206/2024CH/AR,             ,Bultos,191,-34,PLZA,Pendiente,,
2025-02-26,Universal Cargo Srl,01207/2024CH/AR,             ,Bultos,1,0,PLZA,Pendiente,,
2025-02-26,Moniport Cargo Sa,11640121006001,KLOU-282578-1,Bultos,154,-25,IA8,Pendiente,1331,http://dassa.mqbic.com/PublicTally.php?id=1331
2025-02-26,Grouport Srl,BQDFL24060372,TTNU-829849-8,Bultos,80,-15,IB8,Pendiente,669,http://dassa.mqbic.com/PublicTally.php?id=669
2025-02-26,Candalar S.A.,NBOE24011844,MEDU-765976-0,Contenedor,1,-60,PLZA,Pendiente,,
2025-02-26,Candalar S.A.,NBOE24011419,MSMU-759529-4,Contenedor,1,0,PLZA,Pendiente,,
2025-02-26,Ionatex Srl,EXPLV248099A,ZCSU-777653-1,Contenedor,1,-60,PLZA,Pendiente,,
2025-02-26,Jakytextil S.A.,NBOE24012132,CAAU-531572-0,Contenedor,1,-60,PLZA,Pendiente,,
2025-02-26,Jakytextil S.A.,NBOE24012072,MSKU-091728-0,Contenedor,1,-60,PLZA,Pendiente,,
2025-02-26,Jakytextil S.A.,NBOE24011486,MSBU-817288-4,Contenedor,1,0,PLZA,Pendiente,,
2025-02-26,Telamania Srl,NBOE24011091,CAIU-869529-3,Contenedor,1,0,PLZA,Pendiente,,
2025-02-26,Inversiones Para El ...,ENBFL24110012,PCIU-799172-4,Bultos,6,-40,NAVEEXTERI,Pendiente,1393,http://dassa.mqbic.com/PublicTally.php?id=1393
2025-02-26,Poka S.A.,TSSZ2501003,EMCU-851514-4,Contenedor,1,0,PLZA,Pendiente,,
2025-02-26,Poka S.A.,TSSZ2501003,TXGU-657761-5,Contenedor,1,0,PLZA,Pendiente,,
2025-02-26,Poka S.A.,TSSZ2501003,EITU-912369-5,Contenedor,1,0,PLZA,Pendiente,,
2025-02-26,Poka S.A.,NB241253236,MSDU-533840-7,Contenedor,1,-60,PLZA,Pendiente,,
2025-02-26,Poka S.A.,NB241253236,MSBU-675308-8,Contenedor,1,-60,PLZA,Pendiente,,
2025-02-26,Poka S.A.,NB241253236,FFAU-426733-8,Contenedor,1,-60,PLZA,Pendiente,,
2025-02-26,Awam Tex Srl,NBOE24011540,UETU-687139-3,Contenedor,1,0,PLZA,Pendiente,,
2025-02-26,Poka S.A.,NB241253738,BEAU-570061-6,Contenedor,1,-60,PLZA,Pendiente,,
2025-02-26,Poka S.A.,NB241253738,MSBU-675366-3,Contenedor,1,-60,PLZA,Pendiente,,
2025-02-26,Poka S.A.,NB241253738,TGBU-991812-1,Contenedor,1,-60,PLZA,Pendiente,,
2025-02-26,Poka S.A.,NB241253738,UETU-637452-4,Contenedor,1,-60,PLZA,Pendiente,,
2025-02-26,Poka S.A.,NB241253738,TRHU-854418-6,Contenedor,1,-60,PLZA,Pendiente,,
2025-02-26,Mercovan Argentina S...,MVANES20241401,MRSU-445477-5,Bultos,306,-74,EP-IM,Pendiente,1272,http://dassa.mqbic.com/PublicTally.php?id=1272
2025-02-26,Mavi Textil S.A.,ACENGBF22412036,MRSU-760589-6,Contenedor,1,-60,PLZA,Pendiente,,
2025-02-26,Jupam Sa,TWLE24120167,EISU-825883-5,Contenedor,1,-60,PLZA,Pendiente,,
2025-02-26,Lumpini Trade Srl,23205698,BMOU-243778-0,Contenedor,1,0,PLZA,Pendiente,,
2025-02-27,Ajec Autoadhesivos S...,NESHTR2412034,MRKU-096262-5,Contenedor,1,0,PLZA,Pendiente,,
2025-02-27,Lift Van Int. Co S.A,CL-1848.2986,             ,Bultos,227,-62,EP-IM,Pendiente,,
2025-02-27,Poka S.A.,NB241253236,MSDU-533840-7,Contenedor,1,-60,PLZA,Pendiente,,
2025-02-27,Poka S.A.,NB241253236,MSBU-675308-8,Contenedor,1,-60,PLZA,Pendiente,,
2025-02-27,Poka S.A.,NB241253236,MSBU-675330-2,Contenedor,1,-60,PLZA,Pendiente,,
2025-02-27,Poka S.A.,NB241253236,FFAU-426733-8,Contenedor,1,-60,PLZA,Pendiente,,
2025-02-27,Shipy S.A.,TS2412105,FFAU-646822-3,Contenedor,1,0,PLZA,Pendiente,,
2025-02-28,Multitransport Argen...,TCQD2412119,MIEU-000999-5,Contenedor,1,-60,PLZA,Pendiente,,
2025-02-28,Tio Musa,SYNNGB24SE121198,MSNU-590558-4,Bultos,912,-68,IA5,Pendiente,1376,http://dassa.mqbic.com/PublicTally.php?id=1376
2025-02-28,Lift Van Int. Co S.A,246904269,TCLU-273376-7,Contenedor,1,0,PLZA,Pendiente,,
2025-02-28,Jupam Sa,SY241253436,TRHU-815838-9,Contenedor,1,-60,PLZA,Pendiente,,
2025-02-28,Juliana Sa,SS00006466,TXGU-748139-6,Contenedor,1,0,PLZA,Pendiente,,
2025-02-28,Juliana Sa,SS00006466,FSCU-499523-7,Contenedor,1,0,PLZA,Pendiente,,
2025-02-28,Juliana Sa,SS00006466,TCLU-434259-2,Contenedor,1,0,PLZA,Pendiente,,
2025-03-05,Grass S. R. L.,BVNEA2412005,PCIU-868512-2,Contenedor,1,0,PLZA,Pendiente,,
2025-03-05,Grass S. R. L.,BVNEA2412005,PCIU-854125-4,Contenedor,1,0,PLZA,Pendiente,,
2025-03-05,Edelweiss Spedition ...,CL-1848.2985,             ,Bultos,286,-76,NV2,Pendiente,,
2025-03-05,Edelweiss Spedition ...,EDWBUE25020001B,HLXU-534472-0,Bultos,1,-5,N5-A1,Pendiente,1281,http://dassa.mqbic.com/PublicTally.php?id=1281
2025-03-05,Edelweiss Spedition ...,EDWBUE25020001B,HLXU-534472-0,Bultos,1,-5,N5-A1,Pendiente,1281,http://dassa.mqbic.com/PublicTally.php?id=1281
2025-03-05,Edelweiss Spedition ...,EDWBUE25020001B,HLXU-534472-0,Bultos,1,-5,N5-A1,Pendiente,1281,http://dassa.mqbic.com/PublicTally.php?id=1281
2025-03-05,Telamania Srl,NBOE24011093,MSMU-736532-6,Contenedor,1,0,PLZA,Pendiente,,
2025-03-05,Mercovan Argentina S...,MVANES20250204,HLBU-273260-1,Bultos,77,-12,IB8,Pendiente,1366,http://dassa.mqbic.com/PublicTally.php?id=1366
2025-03-05,Jupam Sa,NB241253208,MSBU-818865-9,Contenedor,1,0,PLZA,Pendiente,,
2025-03-07,Mercovan Argentina S...,MVANES20241701,FTAU-132589-1,Bultos,64,-19,IB9,Pendiente,1357,http://dassa.mqbic.com/PublicTally.php?id=1357
2025-03-07,Textil Praga Srl,HDE25-010015,TEMU-627128-4,Contenedor,1,0,PLZA,Pendiente,,
2025-03-07,Mercovan Argentina S...,MVANES2024082024,GLDU-954833-6,Bultos,180,-28,ANEX-A1,Pendiente,1295,http://dassa.mqbic.com/PublicTally.php?id=1295
2025-03-07,Poka S.A.,NB250155254,EMCU-829243-6,Contenedor,1,0,PLZA,Pendiente,,
2025-03-07,Poka S.A.,NB250155253,BSIU-802976-0,Contenedor,1,0,PLZA,Pendiente,,
2025-03-07,Poka S.A.,NB250155253,EITU-939444-4,Contenedor,1,0,PLZA,Pendiente,,
2025-03-07,Poka S.A.,NB250155253,TEMU-608514-5,Contenedor,1,0,PLZA,Pendiente,,
2025-03-07,Poka S.A.,NB250155253,TLLU-415633-8,Contenedor,1,0,PLZA,Pendiente,,
2025-03-07,Poka S.A.,NB250155252,EITU-154834-8,Contenedor,1,0,PLZA,Pendiente,,
2025-03-07,Poka S.A.,NB250155252,EITU-931931-1,Contenedor,1,0,PLZA,Pendiente,,
2025-03-07,Poka S.A.,NB250155252,TGCU-514983-0,Contenedor,1,0,PLZA,Pendiente,,
2025-03-07,Poka S.A.,NB250155252,TXGU-583309-7,Contenedor,1,0,PLZA,Pendiente,,
2025-03-07,Jupam Sa,NB241152338,GAOU-643327-2,Contenedor,1,0,PLZA,Pendiente,,
2025-03-06,Lift Van Int. Co S.A,246904269,TCLU-273376-7,Contenedor,1,0,PLZA,Pendiente,,
2025-03-06,Grupo Leal-Tex S.R.L...,CL24120319,TGBU-582857-0,Contenedor,1,0,PLZA,Pendiente,,
2025-03-06,Raisvic S.R.L.,HDE25-010006,TIIU-523892-7,Contenedor,1,0,PLZA,Pendiente,,
2025-03-06,Jupam Sa,NB241254228,EGSU-107667-1,Contenedor,1,0,PLZA,Pendiente,,
2025-03-06,Jupam Sa,NB241253209,BMOU-551194-1,Contenedor,1,0,PLZA,Pendiente,,
2025-03-10,Presmar S.A.,EXPLV248084A,SUDU-191050-8,Contenedor,1,0,PLZA,Pendiente,,
2025-03-10,Infilo S.R.L.,247297415,MSKU-628902-5,Bultos,24,-12,ANEX-A1,Pendiente,1270,http://dassa.mqbic.com/PublicTally.php?id=1270
2025-03-10,Infilo S.R.L.,247297415,MRKU-055130-5,Bultos,24,-12,ANEX-A1,Pendiente,1271,http://dassa.mqbic.com/PublicTally.php?id=1271
2025-03-10,Mercovan Argentina S...,MVANLT20250801,TCNU-492615-0,Bultos,277,-58,IA9,Pendiente,1312,http://dassa.mqbic.com/PublicTally.php?id=1312
2025-03-10,Seagull Logistica Sr...,EMSAAR4C0134,TGCU-215821-0,Bultos,127,-20,ANEX-A1,Pendiente,1318,http://dassa.mqbic.com/PublicTally.php?id=1318
2025-03-10,Mercovan Argentina S...,MVANLT20241112,HAMU-122349-3,Bultos,262,-57,N5-A1,Pendiente,1337,http://dassa.mqbic.com/PublicTally.php?id=1337
2025-03-10,Edelweiss Spedition ...,EDWBUE24120003,TCKU-686594-9,Bultos,189,-50,IB7,Pendiente,1362,http://dassa.mqbic.com/PublicTally.php?id=1362
2025-03-10,Telamania Srl,GILNB241200520,CAIU-735815-3,Contenedor,1,0,PLZA,Pendiente,,
2025-03-10,Grapot Sa,XNOE24001241,DFSU-763523-9,Contenedor,1,0,PLZA,Pendiente,,
