Dia,Cliente,Desc. Merc.,Contenedor,Envase,Cant.,Volumen,Ubic.,Estado,idcont,e-tally
2025-10-09,Boratex Srl,Cajas Con Hilo,MRSU-627747-3,Cajas,65,10,NV1,Realizado,2600,http://dassaweb.mqbic.com/PublicTally.php?id=2600
2025-10-09,Boratex Srl,Cajas Con Hilo,MRSU-627747-3,Cajas,65,10,NV1,Realizado,2600,http://dassaweb.mqbic.com/PublicTally.php?id=2600
2025-10-09,Boratex Srl,Cajas Con Hilo,MRSU-627747-3,Cajas,65,10,IB5,Realizado,2600,http://dassaweb.mqbic.com/PublicTally.php?id=2600
2025-10-09,Boratex Srl,Cajas Con Hilo,MRSU-627747-3,Cajas,65,10,IB5,Realizado,2600,http://dassaweb.mqbic.com/PublicTally.php?id=2600
2025-10-15,Impulso Jm S.A.,Mochilas,OERU-432109-7,Bultos,558,50,IB2,Pendiente,2739,http://dassaweb.mqbic.com/PublicTally.php?id=2739
2025-10-27,Ba Comex S.A,Textil,OOCU-722084-1,Rollos,518,41,IB1,Realizado,2776,http://dassaweb.mqbic.com/PublicTally.php?id=2776
2025-10-27,Ba Comex S.A,Textil,OOCU-722084-1,Rollos,518,41,IB1,Realizado,2776,http://dassaweb.mqbic.com/PublicTally.php?id=2776
2025-10-27,Ba Comex S.A,Textil,OOCU-722084-1,Rollos,518,41,IB1,Realizado,2776,http://dassaweb.mqbic.com/PublicTally.php?id=2776
2025-10-27,Ba Comex S.A,Textil,OOCU-722084-1,Rollos,518,41,IB1,Realizado,2776,http://dassaweb.mqbic.com/PublicTally.php?id=2776
2025-10-27,Ba Comex S.A,Textil,OOCU-722084-1,Rollos,518,41,IB1,Realizado,2776,http://dassaweb.mqbic.com/PublicTally.php?id=2776
2025-11-14,Ba Comex S.A,Textil,OOCU-722084-1,Rollos,518,41,IB1,Realizado,2776,http://dassaweb.mqbic.com/PublicTally.php?id=2776
2025-11-14,Ba Comex S.A,Textil,OOCU-722084-1,Rollos,518,41,IB1,Realizado,2776,http://dassaweb.mqbic.com/PublicTally.php?id=2776
2025-11-14,Ba Comex S.A,Textil,OOCU-722084-1,Rollos,518,41,IB1,Realizado,2776,http://dassaweb.mqbic.com/PublicTally.php?id=2776
2025-11-14,Ba Comex S.A,Textil,OOCU-722084-1,Rollos,518,41,IB1,Realizado,2776,http://dassaweb.mqbic.com/PublicTally.php?id=2776
2025-11-14,Ba Comex S.A,Textil,OOCU-722084-1,Rollos,518,41,IB1,Realizado,2776,http://dassaweb.mqbic.com/PublicTally.php?id=2776
2025-11-19,Grupo Rsm Srl,Madero Catalina / Ef...,MRSU-718080-5,Bultos,1,5,NV1,Pendiente,3096,http://dassaweb.mqbic.com/PublicTally.php?id=3096
2025-11-19,Grupo Rsm Srl,Madero Catalina / Ef...,MRSU-718080-5,Bultos,1,5,NV1,Pendiente,3096,http://dassaweb.mqbic.com/PublicTally.php?id=3096
2025-12-01,Ba Comex S.A,Textil,OOCU-722084-1,Rollos,518,41,IB1,Realizado,2776,http://dassaweb.mqbic.com/PublicTally.php?id=2776
2025-12-01,Ba Comex S.A,Textil,OOCU-722084-1,Rollos,518,41,IB1,Realizado,2776,http://dassaweb.mqbic.com/PublicTally.php?id=2776
2025-12-01,Ba Comex S.A,Textil,OOCU-722084-1,Rollos,518,41,IB1,Realizado,2776,http://dassaweb.mqbic.com/PublicTally.php?id=2776
2025-12-01,Ba Comex S.A,Textil,OOCU-722084-1,Rollos,518,41,IB1,Realizado,2776,http://dassaweb.mqbic.com/PublicTally.php?id=2776
2025-12-01,Ba Comex S.A,Textil,OOCU-722084-1,Rollos,518,41,IB1,Realizado,2776,http://dassaweb.mqbic.com/PublicTally.php?id=2776
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
2025-12-16,Noah Servicess.R.L.,Harley Davidson Vin ...,MSDU-457616-5,Bultos,1,0,NV1,Realizado,3343,http://dassaweb.mqbic.com/PublicTally.php?id=3343
