Mes,CNTs Expo,CNTs Impo
2021-01,92,197
2021-02,97,178
2021-03,126,188
2021-04,84,135
2021-05,89,103
2021-06,86,109
2021-07,122,96
2021-08,114,66
2021-09,144,139
2021-10,122,155
2021-11,118,114
2021-12,103,152
2022-01,75,201
2022-02,65,253
2022-03,85,231
2022-04,117,104
2022-05,103,173
2022-06,86,180
2022-07,83,199
2022-08,133,162
2022-09,88,220
2022-10,76,191
2022-11,110,268
2022-12,58,254
2023-01,77,147
2023-02,113,137
2023-03,117,188
2023-04,146,128
2023-05,124,157
2023-06,96,232
2023-07,92,260
2023-08,111,260
2023-09,127,382
2023-10,107,252
2023-11,93,239
2023-12,95,220
2024-01,94,151
2024-02,183,84
2024-03,151,89
2024-04,167,69
2024-05,215,77
2024-06,195,52
2024-07,305,109
2024-08,317,121
2024-09,241,172
2024-10,273,149
2024-11,280,120
2024-12,251,142
2025-01,266,162
2025-02,277,148
