Cliente,Fecha Alta,Vendedor,Mes actual
Lumpini Trade Srl,2025-02-21,Enzo,"$1,368,301"
Fulling S.R.L.,2025-02-18,Enzo,"$5,254,368"
Newsan Sociedad Anon...,2025-02-14,Alexis - DASSA,"$8,011,605"
Fedtex S.R.L,2025-02-14,Otros,"$404,592"
Edgardo Gabriel Medu...,2025-02-12,Enzo,"$1,636,520"
Gador S.A.,2025-02-07,Otros,"$1,403,046"
Candalar S.A.,2025-01-29,Guillermo,"$3,050,780"
Jakytextil S.A.,2025-01-29,Guillermo,"$3,675,410"
Ledorot S.A.,2025-01-29,Guillermo,"$612,220"
Seagull Logistica Sr...,2025-01-29,Guillermo,"$102,418"
