Cliente,Mes anterior,Mes actual,%
Espert S.A.,"$2,993,742","$38,794,370","6,9"
Malu Ma Tex S.A.,$0,"$35,672,050","6,4"
Global Rover Logisti...,"$53,702,840","$32,619,000","5,8"
Telamania Srl,"$19,892,982","$32,563,835","5,8"
Mercovan Argentina S...,"$12,424,710","$27,229,533","4,9"
Lift Van Int. Co S.A,"$28,064,593","$25,493,952","4,6"
Bulldog Solutions S....,"$15,358,250","$25,020,400","4,5"
Alimentaria Sa,"$20,485,235","$21,405,120","3,8"
Henn Y Cia S.R.L.,"$29,902,800","$19,816,600","3,5"
Ecomet Srl,$0,"$13,379,250","2,4"
Chaguar Sociedad Ano...,"$5,703,680","$13,098,485","2,3"
Borax Argentina S A,"$16,950,720","$12,430,528","2,2"
Tandem Global Logist...,$0,"$10,742,695","1,9"
Be Investment Sa,$0,"$9,527,426","1,7"
Chemotecnica Sa,"$3,751,185","$9,448,337","1,7"
Grupo Simpa Sa,"$14,446,695","$8,817,500","1,6"
Tavasci Mena Mariana...,"$7,600,187","$8,659,508","1,5"
Industrias Saladillo...,"$7,608,980","$8,656,356","1,5"
Uld Global Trade Srl,$0,"$7,766,300","1,4"
Minera Santa Rita Sr...,"$13,723,312","$7,408,122","1,3"
Hilado Sa,"$25,883,008","$6,935,807","1,2"
Curtiembre Infante S...,"$1,752,000","$5,817,618","1,0"
Eagle Service Group ...,$0,"$5,734,690","1,0"
Aspee Monee,$0,"$5,673,750","1,0"
Ipa Argentina S A,$0,"$5,371,901","1,0"
Importadora Mediterr...,$0,"$5,353,747","1,0"
Edelweiss Spedition ...,"$1,817,295","$4,995,870","0,9"
Pampa Logistica Inte...,"$6,591,156","$4,989,500","0,9"
Capilatis S.A.,$0,"$4,975,641","0,9"
Edificios Comahue So...,"$121,700","$4,958,110","0,9"
Cordova Camila Valer...,$0,"$4,687,890","0,8"
Bisora Group Sa,"$10,974,414","$4,579,810","0,8"
Dalies Fernando Rube...,$0,"$4,561,753","0,8"
Neocargo Sa,$0,"$4,500,386","0,8"
Grouport Srl,"$2,165,403","$4,471,340","0,8"
Leonardo Talamo,$0,"$4,419,825","0,8"
Lawter Argentina S.A...,"$6,759,356","$4,359,741","0,8"
Pelama Chubut S.A.,"$2,130,000","$4,260,000","0,8"
Blue Mail S.A.,$0,"$4,229,472","0,8"
Juguetech Sa,"$3,900,893","$3,996,003","0,7"
Harbor Express S.A.,$0,"$3,641,245","0,6"
Baires International,$0,"$3,443,660","0,6"
Southcross Logistics...,"$1,585,616","$3,443,458","0,6"
Grass S. R. L.,$0,"$3,432,242","0,6"
Refractarios Argenti...,"$10,479,075","$3,362,210","0,6"
Dry Sea Srl,$0,"$3,338,000","0,6"
Alsina Motos Srl,"$596,904","$3,046,037","0,5"
Smart Logistics S.A.,$0,"$2,981,446","0,5"
Raisvic S.R.L.,"$16,888,800","$2,876,500","0,5"
Bdfm Sa,"$1,010,240","$2,829,245","0,5"
Pezzelatto Jorge Fac...,$0,"$2,563,505","0,5"
Overprint S.R.L.,"$1,109,926","$2,514,106","0,4"
Comunicaciones Valle...,$0,"$2,485,703","0,4"
Maquinarias Independ...,"$1,736,000","$2,412,200","0,4"
Hdv Leather S.R.L.,"$4,266,575","$2,299,870","0,4"
Dpmg S.A.,"$48,122,272","$2,239,049","0,4"
Smart Trading S.A.S,"$7,664,190","$2,164,110","0,4"
