Mes,Ventas Total,Ajustado
2026-02,"$113,972,318","$113,972,318"
2026-01,"$651,199,130","$651,199,130"
2025-12,"$832,667,216","$855,981,918"
2025-11,"$580,781,235","$611,969,209"
2025-10,"$621,033,654","$669,433,934"
2025-09,"$551,481,263","$606,944,698"
2025-08,"$589,918,867","$661,583,771"
2025-07,"$633,010,572","$723,398,679"
2025-06,"$421,661,715","$489,581,051"
2025-05,"$482,094,193","$568,143,925"
2025-04,"$688,125,655","$833,656,919"
2025-03,"$473,231,945","$594,528,080"
2025-02,"$403,923,651","$519,634,029"
2025-01,"$393,244,195","$517,024,983"
2024-12,"$386,273,737","$520,556,940"
2024-11,"$290,262,394","$400,556,495"
2024-10,"$411,183,791","$585,583,331"
2024-09,"$366,711,998","$540,528,003"
2024-08,"$309,243,356","$475,876,166"
2024-07,"$461,673,871","$738,860,099"
2024-06,"$340,035,140","$569,222,901"
2024-05,"$596,146,856","$1,039,871,253"
2024-04,"$292,320,574","$554,772,026"
2024-03,"$502,922,314","$1,059,446,632"
2024-02,"$320,854,746","$765,126,193"
2024-01,"$401,965,265","$1,156,006,944"
