Mes,Tipo Operación,Volumen
2024-01,Exportacion,-4979.48
2024-01,Importacion,-4591.72
2024-02,Exportacion,-8630.26
2024-02,Importacion,-2714.44
2024-03,Exportacion,-7917.00
2024-03,Importacion,-4829.88
2024-04,Exportacion,-8522.89
2024-04,Importacion,-1820.39
2024-05,Exportacion,-10528.00
2024-05,Importacion,-3930.15
2024-06,Exportacion,-9538.67
2024-06,Importacion,-1305.60
2024-07,Exportacion,-10865.27
2024-07,Importacion,-2346.60
2024-08,Exportacion,-13345.00
2024-08,Importacion,-1305.41
2024-09,Exportacion,-11117.00
2024-09,Importacion,-1771.00
2024-10,Exportacion,-10551.00
2024-10,Importacion,-3360.84
2024-11,Exportacion,-6112.00
2024-11,Importacion,-1068.42
2024-12,Exportacion,-10349.00
2024-12,Importacion,-2959.03
2025-01,Exportacion,-32329.07
2025-01,Importacion,-3192.10
2025-02,Exportacion,-13694.00
2025-02,Importacion,-1667.84
2025-03,Exportacion,-6999.00
2025-03,Importacion,-2950.50
2025-04,Exportacion,-10134.00
2025-04,Importacion,-3677.58
2025-05,Exportacion,-13169.33
2025-05,Importacion,-3256.49
2025-06,Exportacion,-13573.03
2025-06,Importacion,-2087.78
2025-07,Exportacion,-15413.73
2025-07,Importacion,-3041.67
2025-08,Exportacion,-11805.54
2025-08,Importacion,-3958.14
2025-09,Exportacion,-13592.00
2025-09,Importacion,-4105.99
2025-10,Exportacion,-8412.55
2025-10,Importacion,-5248.72
2025-11,Exportacion,-10017.00
2025-11,Importacion,-4371.25
2025-12,Exportacion,-14942.00
2025-12,Importacion,-4254.26
2026-01,Exportacion,-8555.00
2026-01,Importacion,-4745.10
2026-02,Exportacion,-5035.00
2026-02,Importacion,-2128.44
