Dia,Cliente,Operacion,Contenedor,Conocim.,Envase,Cant.,Volumen,Ubic.,Estado,Hora,e-tally,Salida
16/12,Refractarios Argenti...,39964-1-1,MEDU-542555-1,DLC59135010,Bultos,25.0,25.0,IA9,Pendiente,8:00 ,http://dassaweb.mqbic.com/PublicTally.php?id=3413,
16/12,Refractarios Argenti...,39964-2-1,MSBU-207070-9,DLC59135010,Bultos,25.0,25.0,IA9,Pendiente,8:00 ,http://dassaweb.mqbic.com/PublicTally.php?id=3414,
16/12,Refractarios Argenti...,39964-4-1,MSBU-207167-0,DLC59135010,Bultos,25.0,25.0,ANEX-A1,Pendiente,8:00 ,http://dassaweb.mqbic.com/PublicTally.php?id=3416,
16/12,Refractarios Argenti...,39964-5-1,MSDU-137097-2,DLC59135010,Bultos,25.0,25.0,ANEX-A1,Pendiente,8:00 ,http://dassaweb.mqbic.com/PublicTally.php?id=3417,
16/12,Grupo Simpa Sa,40002-0-1,MSKU-503817-5,250107051,Contenedor,1.0,0.0,PLZA,En curso,8:00 ,-,-
16/12,Grupo Simpa Sa,39927-0-1,MSMU-121455-4,202508131001,Contenedor,1.0,0.0,PLZA,En curso,8:00 ,-,-
16/12,Arbrex Commercial Gr...,39706-1-1,TGHU-516987-6,SZX25091083A,Bultos,114.0,7.8,IA9,En curso,8:00 ,http://dassaweb.mqbic.com/PublicTally.php?id=3303,
16/12,Arbrex Commercial Gr...,39248-1-1,HLBU-124610-1,TPSHNSG25086048,Bultos,100.0,11.97,IB9,En curso,8:00 ,http://dassaweb.mqbic.com/PublicTally.php?id=3060,
16/12,Arbrex Commercial Gr...,38812-2-1,BMOU-310126-0,SZX25080592B,Bultos,9.0,2.62,EA9,En curso,8:30 ,http://dassaweb.mqbic.com/PublicTally.php?id=2825,
16/12,Arbrex Commercial Gr...,40003-1-1,MRKU-939857-9,TPYTNSG25096057,Bultos,225.0,12.69,IB9,En curso,8:30 ,http://dassaweb.mqbic.com/PublicTally.php?id=3429,
16/12,Arbrex Commercial Gr...,39706-2-1,TGHU-516987-6,SZX25091083B,Bultos,157.0,6.89,IA9,En curso,8:30 ,http://dassaweb.mqbic.com/PublicTally.php?id=3303,
16/12,Shipy S.A.,40084-0-2,CIMU-034289-0,DLNB2509879,Contenedor,1.0,0.0,PLZA,Pendiente,9:30 ,-,-
16/12,Shipy S.A.,40084-0-1,CIMU-034264-8,DLNB2509879,Contenedor,1.0,0.0,PLZA,Pendiente,9:30 ,-,-
16/12,Mercovan Argentina S...,39930-1-1,CMAU-767695-9,MVANBOB202510,Bultos,16.0,50.0,IB5,En curso,8:30 ,http://dassaweb.mqbic.com/PublicTally.php?id=3374,
16/12,Berkma S.A.,39772-1-1,HLBU-203201-7,DLNB2509492,Bultos,663.0,68.0,IB5,Pendiente,9:00 ,http://dassaweb.mqbic.com/PublicTally.php?id=3318,
16/12,Berkma S.A.,39772-2-1,HAMU-396717-5,DLNB2509492,Bultos,557.0,68.0,IB5,Pendiente,9:00 ,http://dassaweb.mqbic.com/PublicTally.php?id=3317,
17/12,Dpmg S.A.,40018-0-1,BEAU-637118-2,260103992,Contenedor,1.0,0.0,PLZA,Pendiente,8:00 ,-,-
17/12,Dpmg S.A.,40021-0-1,MRKU-050747-3,260576097,Contenedor,1.0,0.0,PLZA,Pendiente,8:00 ,-,-
17/12,Lift Van Int. Co S.A,39597-1-1,TCLU-828926-4,LIFBUE25110012,Bultos,191.0,28.0,NV2,Pendiente,8:00 ,http://dassaweb.mqbic.com/PublicTally.php?id=3212,
17/12,Grupo Simpa Sa,39951-0-1,MSNU-504114-7,202508512001,Contenedor,1.0,0.0,PLZA,Pendiente,8:00 ,-,-
17/12,Mercovan Argentina S...,39452-1-1,HLXU-841558-2,MVANES20250711,Bultos,231.0,50.0,ANEX-A1,Pendiente,8:00 ,http://dassaweb.mqbic.com/PublicTally.php?id=3156,
18/12,Dpmg S.A.,39814-0-1,SEGU-813468-5,SABUE251028,Contenedor,1.0,0.0,PLZA,Pendiente,8:00 ,-,-
18/12,Lift Van Int. Co S.A,39768-1-1,HLBU-352151-6,LIFBUE25110010,Bultos,74.0,20.0,ANEX-A1,Pendiente,8:00 ,http://dassaweb.mqbic.com/PublicTally.php?id=3327,
18/12,Dpmg S.A.,39814-0-2,DCIU-552745-6,SABUE251028,Contenedor,1.0,0.0,PLZA,Pendiente,8:00 ,-,-
18/12,Lift Van Int. Co S.A,39492-1-1,TEMU-190782-0,LIFBUE25110008,Bultos,101.0,26.0,NV2,Pendiente,8:00 ,http://dassaweb.mqbic.com/PublicTally.php?id=3164,
