Comprobante,Cliente,Vencimiento,Saldo,Dias
FCA 0003-00027656,Mollo Guzman Reyna,2025-10-24,"$1.321.396,23",40
FCA 0003-00028091,Grupo Leal-Tex S.R.L.,2025-11-27,"$3.888.953,31",6
FCA 0003-00028092,Bisora Group Sa,2025-11-27,"$1.317.236,25",6
FCA 0003-00028110,Mazon Textil Sa,2025-11-27,"$1.718.611,40",6
FCA 0003-00028111,Mazon Textil Sa,2025-11-27,"$1.544.782,80",6
FCA 0003-00028124,Bisora Group Sa,2025-11-28,"$1.190.815,45",5
FCA 0003-00028207,Bisora Group Sa,2025-12-03,"$1.608.567,95",0
FCA 0003-00028208,Bisora Group Sa,2025-12-03,"$1.387.331,55",0
FCA 0003-00028209,Bisora Group Sa,2025-12-03,"$1.387.331,55",0
FCA 0003-00028217,Domatel S. R. L.,2025-12-03,"$1.191.390,20",0
FCA 0003-00028219,Chelatex Sas,2025-12-03,"$1.396.824,00",0
