Comprobante,Cliente,Vencimiento,Saldo,Dias
FCA 0003-00026360,Global Rover Logistic Srl,2025-07-15,"$349.206,00",17
FCA 0003-00026444,Global Rover Logistic Srl,2025-07-21,"$1.343.390,40",11
FCA 0003-00026504,Global Rover Logistic Srl,2025-07-24,"$349.206,00",8
FCA 0003-00026506,Global Rover Logistic Srl,2025-07-24,"$349.206,00",8
FCA 0003-00026524,Global Rover Logistic Srl,2025-07-25,"$3.270.630,00",7
FCA 0003-00026527,Global Rover Logistic Srl,2025-07-25,"$654.126,00",7
FCA 0003-00026528,Global Rover Logistic Srl,2025-07-28,"$1.308.252,00",4
FCA 0003-00026529,Global Rover Logistic Srl,2025-07-28,"$1.308.252,00",4
FCA 0003-00026531,Global Rover Logistic Srl,2025-07-28,"$1.308.252,00",4
FCA 0003-00026532,Termoplasticos Del Sur Sa,2025-07-28,"$947.430,00",4
FCA 0003-00026535,Termoplasticos Del Sur Sa,2025-07-28,"$831.021,95",4
FCA 0003-00026550,Global Rover Logistic Srl,2025-07-29,"$1.041.326,00",3
FCA 0003-00026551,Global Rover Logistic Srl,2025-07-29,"$1.041.326,00",3
FCA 0003-00026567,Global Rover Logistic Srl,2025-07-29,"$3.933.952,00",3
FCA 0003-00026586,Global Rover Logistic Srl,2025-07-31,"$654.126,00",1
FCA 0003-00026587,Global Rover Logistic Srl,2025-07-31,"$1.308.252,00",1
FCA 0003-00026603,Termoplasticos Del Sur Sa,2025-07-31,"$1.237.799,75",1
FCA 0003-00026604,Global Rover Logistic Srl,2025-08-01,"$1.308.252,00",0
FCA 0003-00026605,Global Rover Logistic Srl,2025-08-01,"$654.126,00",0
FCA 0003-00026606,Global Rover Logistic Srl,2025-08-01,"$654.126,00",0
FCA 0003-00026607,Global Rover Logistic Srl,2025-08-01,"$1.962.378,00",0
FCA 0003-00026608,Global Rover Logistic Srl,2025-08-01,"$1.308.252,00",0
FCA 0003-00026609,Global Rover Logistic Srl,2025-08-01,"$654.126,00",0
