Comprobante,Cliente,Vencimiento,Saldo,Dias
FCA 0003-00023190,Lift Van Int. Co S.A,2024-10-17,"$3.000,00",274
FCA 0003-00023585,Lift Van Int. Co S.A,2024-11-28,"$431.268,20",232
FCA 0003-00023586,Lift Van Int. Co S.A,2024-11-28,"$39.192,38",232
FCA 0003-00024450,Lift Van Int. Co S.A,2025-02-22,"$792.132,55",146
FCA 0003-00024451,Lift Van Int. Co S.A,2025-02-22,"$45.302,40",146
FCA 0003-00024465,Edelweiss Spedition Srl,2025-02-10,"$182.775,96",158
FCA 0003-00024795,Edelweiss Spedition Srl,2025-03-10,"$3.212.570,30",130
FCA 0003-00024975,Edelweiss Spedition Srl,2025-03-20,"$609.324,76",120
FCA 0003-00025108,Edelweiss Spedition Srl,2025-04-01,"$2.442.874,90",108
FCA 0003-00025161,Lift Van Int. Co S.A,2025-04-22,"$2.229.669,42",87
FCA 0003-00025251,Edelweiss Spedition Srl,2025-04-14,"$2.457.252,35",95
FCA 0003-00025252,Lift Van Int. Co S.A,2025-04-29,"$2.715.585,76",80
FCA 0003-00025273,Edelweiss Spedition Srl,2025-04-15,"$3.129.829,25",94
FCA 0003-00025293,Edelweiss Spedition Srl,2025-04-17,"$3.235.587,36",92
FCA 0003-00025324,Edelweiss Spedition Srl,2025-04-22,"$1.543.437,28",87
FCA 0003-00025326,Edelweiss Spedition Srl,2025-04-22,"$796.124,00",87
FCA 0003-00025418,Edelweiss Spedition Srl,2025-04-28,"$2.519.563,93",81
FCA 0003-00025522,Edelweiss Spedition Srl,2025-05-08,"$3.528.004,32",71
FCA 0003-00025541,Edelweiss Spedition Srl,2025-05-09,"$2.841.046,66",70
FCA 0003-00025601,Edelweiss Spedition Srl,2025-05-14,"$3.216.641,64",65
FCA 0003-00025705,Edelweiss Spedition Srl,2025-05-21,"$2.299.103,09",58
FCA 0003-00025736,Edelweiss Spedition Srl,2025-05-23,"$241.288,52",56
FCA 0003-00025737,Edelweiss Spedition Srl,2025-05-23,"$2.298.109,55",56
FCA 0003-00025758,Edelweiss Spedition Srl,2025-05-26,"$2.148.756,91",53
FCA 0003-00025840,Lift Van Int. Co S.A,2025-06-17,"$2.970.675,01",31
FCA 0003-00026065,Lift Van Int. Co S.A,2025-07-04,"$2.532.410,94",14
FCA 0003-00026158,Lift Van Int. Co S.A,2025-07-11,"$2.123.289,95",7
FCA 0003-00026166,Lift Van Int. Co S.A,2025-07-12,"$1.618.102,75",6
FCA 0003-00026196,Edelweiss Spedition Srl,2025-06-30,"$2.892.009,43",18
FCA 0003-00026206,Lift Van Int. Co S.A,2025-07-16,"$442.078,82",2
FCA 0003-00026259,Edelweiss Spedition Srl,2025-07-04,"$2.198.927,29",14
FCA 0003-00026260,Lift Van Int. Co S.A,2025-07-19,"$3.046.341,25",0
FCA 0003-00026299,Lift Van Int. Co S.A,2025-07-23,"$2.320.820,84",0
FCA 0003-00026350,Lift Van Int. Co S.A,2025-07-26,"$1.924.682,20",0
FCA 0003-00026374,Lift Van Int. Co S.A,2025-07-30,"$2.868.275,62",0
FCA 0003-00026384,Lift Van Int. Co S.A,2025-07-31,"$3.180.000,00",0
FCA 0003-00026385,Lift Van Int. Co S.A,2025-07-31,"$2.544.000,00",0
FCA 0003-00026386,Lift Van Int. Co S.A,2025-07-31,"$3.180.000,00",0
FCA 0003-00026405,Lift Van Int. Co S.A,2025-08-01,"$1.600.354,47",0
FCA 0003-00026415,Lift Van Int. Co S.A,2025-08-01,"$2.268.000,01",0
FCA 0003-00026418,Lift Van Int. Co S.A,2025-08-02,"$1.265.800,00",0
FCA 0003-00026419,Lift Van Int. Co S.A,2025-08-02,"$1.012.640,00",0
