Comprobante,Cliente,Vencimiento,Saldo,Dias
FCA 0003-00028480,Grupo Simpa Sa,2026-01-22,"$1.037.232,20",29
FCA 0003-00028481,Grupo Simpa Sa,2026-01-22,"$1.472.232,41",29
FCA 0003-00028482,Grupo Simpa Sa,2026-01-22,"$1.287.023,76",29
FCA 0003-00028483,Grupo Simpa Sa,2026-01-22,"$1.324.065,49",29
FCA 0003-00028508,Grupo Simpa Sa,2026-01-25,"$1.435.190,68",26
FCA 0003-00028509,Grupo Simpa Sa,2026-01-25,"$3.691.494,62",26
FCA 0003-00028589,Grupo Simpa Sa,2026-02-01,"$2.702.111,50",19
FCA 0003-00028590,Grupo Simpa Sa,2026-02-01,"$1.733.920,32",19
FCA 0003-00028618,Grupo Simpa Sa,2026-02-04,"$1.770.962,05",16
FCA 0003-00028773,Grupo Simpa Sa,2026-02-18,"$1.322.268,64",2
FCA 0004-00000196,Grupo Simpa Sa,2026-02-18,"$3.966.805,92",2
