Operacion,Dia,Hora,Observacion,Conocimiento,Tipo Trafico,Cliente,Tipo Operacion,Fecha Ingreso,Contenedor,Descripcion Mercaderia,Dimension,Tipo Contenedor,Volumen,Kilos,Envase,Estado
31295-1-1,2024-10-18,9:00 ,Exolgan  13Hs,EBKG10350711,Remision,Lift Van Int. Co S.A,Exportacion,2024-09-30,TLLU-232026-8,Eliasz Krawczuk Pov // Vehiculo,0,  ,0.00,-1383.00,Bultos,Realizado
31335-1-1,2024-10-18,9:30 ,Exolgan   16Hs,EBKG10429082,Remision,Hector Reboratti,Exportacion,2024-10-15,TCNU-765920-6,Grlem241194 /Ebkg10429082 / Remito 9589,0,  ,-60.00,-24620.00,Bultos,Realizado
31325-1-1,2024-10-18,9:30 ,Exolgan   16Hs,EBKG10429082,Remision,Hector Reboratti,Exportacion,2024-10-15,MSMU-812255-2,Grlem241194 /Ebkg10429082 // Remito 9588,0,  ,-60.00,-24660.00,Bultos,Realizado
31294-1-1,2024-10-18,9:00 ,Exolgan  13Hs,EBKG10350687,Remision,Lift Van Int. Co S.A,Exportacion,2024-09-30,MSDU-433196-4,Eliasz Krawczuk Dsp // 6 Cajones,0,  ,0.00,-3136.00,Bultos,Realizado
31323-1-1,2024-10-18,9:00 ,Exolgan  10Hs,60302714,Remision,Piranga Sa,Exportacion,2024-10-16,HLBU-210654-7,Grlem241053/60302714 // Remito 941,0,  ,-60.00,-24880.00,Bultos,Realizado
31322-1-1,2024-10-18,9:00 ,Exolgan   10Hs,60302714,Remision,Piranga Sa,Exportacion,2024-10-16,HLXU-847768-7,Grlem241053/60302714 // Remito 940,0,  ,-60.00,-24760.00,Bultos,Realizado
31301-1-1,2024-10-18,9:00 ,Exolgan   10Hs,60302714,Remision,Piranga Sa,Exportacion,2024-10-16,HLBU-157981-7,Grlem241053/60302714 // Remito 939,0,  ,-60.00,-24540.00,Bultos,Realizado
31317-1-1,2024-10-18,9:30 ,Terminal 4  11Hs,244573678,Remision,Valerio Oliva Forestal Sa,Exportacion,2024-10-16,MSKU-880048-0,Grlem241105 / 244573678,0,  ,-60.00,-24180.00,Bultos,Realizado
31304-1-1,2024-10-18,9:00 ,Exolgan  10Hs,61302687,Remision,Helvecia S.A.,Exportacion,2024-10-09,HLBU-224035-0,Grlem241115,0,  ,0.00,-26700.00,Bultos,Realizado
31300-1-1,2024-10-18,9:00 ,Terminal 4  11Hs,244269707,Remision,Virasoro Maderas S R L,Exportacion,2024-10-14,CAAU-526439-2,Grlem241076 /244269707,0,  ,-60.00,-26220.00,Bultos,Realizado
31231-1-1,2024-10-18,9:00 ,Terminal 4  09Hs,244763827,Remision,Leterago Sa,Exportacion,2024-10-14,MRKU-604799-2,Grlae2458/244763827 / Remito 05,0,  ,-60.00,-27155.00,Bultos,Realizado
31232-1-1,2024-10-18,9:00 ,Terminal 4  09Hs,244763827,Remision,Leterago Sa,Exportacion,2024-10-14,MRSU-380455-0,Grlae2458/244763827 / Remito 04,0,  ,-60.00,-26360.00,Bultos,Realizado
31233-1-1,2024-10-18,8:30 ,Terminal 4   09Hs,244763827,Remision,Leterago Sa,Exportacion,2024-10-14,MRKU-382170-2,Grlae2458/244763827 / Remito 03,0,  ,-60.00,-26620.00,Bultos,Realizado
31234-1-1,2024-10-18,8:30 ,Terminal 4 09Hs,244763827,Remision,Leterago Sa,Exportacion,2024-10-14,MRSU-366969-7,Grlae2458/244763827 / Remito 02,0,  ,-60.00,-27020.00,Bultos,Realizado
31235-1-1,2024-10-18,8:30 ,Terminal 4  09Hs,244763827,Remision,Leterago Sa,Exportacion,2024-10-14,TIIU-521566-5,Grlae2458/244763827 / Remito 01,0,  ,-60.00,-27420.00,Bultos,Realizado
31326-1-1,2024-10-18,9:00 ,Exolgan  10Hs,65643285,Remision,Refractarios Argentinos Saicm,Exportacion,2024-10-10,BMOU-126494-6,Ec 2649-24 // 65643285,0,  ,-15.00,-8378.00,Bultos,Realizado
31337-0-1,2024-10-21,8:00 ,10Hs,EBKG10440523,Remision,Piranga Sa,Exportacion,2024-10-16,MSDU-582085-1,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31336-0-1,2024-10-21,8:00 ,10Hs,EBKG10440523,Remision,Piranga Sa,Exportacion,2024-10-16,CAIU-781609-2,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31338-0-1,2024-10-21,8:00 ,,EBKG10440523,Remision,Piranga Sa,Exportacion,2024-10-16,CAAU-691173-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31336-0-1,2024-10-21,8:00 ,Remision,EBKG10440523,Remision,Piranga Sa,Exportacion,2024-10-16,CAIU-781609-2,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31145-0-1,2024-10-23,9:00 ,,EBKGQ0004E09,Remision,Lift Van Int. Co S.A,Exportacion,2024-10-02,             ,Garcia Roberto // Efectos Pers.,0,  ,-27.00,-1700.00,Bultos,Realizado
31456-1-1,2024-10-23,10:00,Trp    17Hs,COSU6399731130,Remision,Don Satur Srl,Exportacion,2024-10-22,CSNU-212835-1,Don Satur,0,  ,0.00,-5709.20,Bultos,Realizado
