Operacion,Dia,Hora,Observacion,Conocimiento,Tipo Trafico,Cliente,Tipo Operacion,Fecha Ingreso,Contenedor,Descripcion Mercaderia,Dimension,Tipo Contenedor,Volumen,Kilos,Envase,Estado
31456-1-1,2024-10-23,10:00,Trp    17Hs,COSU6399731130,Remision,Don Satur Srl,Exportacion,2024-10-22,CSNU-212835-1,Don Satur,0,  ,0.00,-5709.20,Bultos,Realizado
31410-0-1,2024-10-23,10:00,Terrestre,24001PE01000470K,Remision,Lift Van Int. Co S.A,Exportacion,2024-10-21,             ,Dora Velazquez Osorio,0,  ,0.00,-3680.00,Bultos,Realizado
31145-0-1,2024-10-23,9:00 ,,EBKGQ0004E09,Remision,Lift Van Int. Co S.A,Exportacion,2024-10-02,             ,Garcia Roberto // Efectos Pers.,0,  ,-27.00,-1700.00,Bultos,Realizado
31457-1-1,2024-10-23,10:00,Exolgan   16Hs,EBKGQ0004E09,Remision,Lift Van Int. Co S.A,Exportacion,2024-10-02,MSDU-160355-0,Garcia Roberto // Efectos Pers.,0,  ,-27.00,-1700.00,Bultos,Realizado
31455-1-1,2024-10-24,10:00,Multimodal,SNG0443060,Remision,Capilatis S.A.,Exportacion,2024-10-21,CMAU-675441-9,Fc 992-993,0,  ,0.00,-5581.50,Bultos,Realizado
31454-1-1,2024-10-24,9:30 ,Multimodal,SNG0443060,Remision,Capilatis S.A.,Exportacion,2024-10-21,TRHU-815685-3,Fc 992-993,0,  ,0.00,-3348.50,Bultos,Realizado
31453-1-1,2024-10-24,9:30 ,Multimodal,SNG0443060,Remision,Capilatis S.A.,Exportacion,2024-10-21,SEGU-477000-9,Fc 992-993,0,  ,0.00,-7813.00,Bultos,Realizado
31369-1-1,2024-10-24,8:00 ,Terminal 4   15Hs,244534245,Remision,Arleather S.R.L.,Exportacion,2024-10-17,SUDU-673999-6,244534245 // Lote 2202 // 2225.,0,  ,-60.00,-27805.00,Bultos,Realizado
31331-1-1,2024-10-24,8:00 ,Terminal 4  15Hs,244571303,Remision,Arleather S.R.L.,Exportacion,2024-10-16,MSKU-925133-7,244571303 //Lote 2237 // 2238 // 2240.,0,  ,-60.00,-24713.00,Bultos,Realizado
31330-1-1,2024-10-24,8:00 ,Terminal  4  15Hs,244571303,Remision,Arleather S.R.L.,Exportacion,2024-10-16,MRKU-578701-6,244571303 //Lote 2237 // 2238 // 2240.,0,  ,-60.00,-24714.00,Bultos,Realizado
31329-1-1,2024-10-24,8:00 ,Terminal 4  15Hs,244571303,Remision,Arleather S.R.L.,Exportacion,2024-10-16,TLLU-582460-0,244571303 //Lote 2237 // 2238 // 2240.,0,  ,-60.00,-24713.00,Bultos,Realizado
31461-1-1,2024-10-24,8:00 ,Terminal 4   13Hs,ZIMUBUE9035780,Remision,Lawter Argentina S.A.,Exportacion,2024-10-22,ZCSU-258173-2,Ref: 4700158890,0,  ,0.00,-25740.00,Bultos,Realizado
31460-1-1,2024-10-24,8:00 ,Terminal 4  13Hs,245350797,Remision,Lawter Argentina S.A.,Exportacion,2024-10-21,HASU-111147-4,5147271/ 5147273/ 5147275,0,  ,-30.00,-29250.00,Bultos,Realizado
31459-1-1,2024-10-24,8:00 ,Terminal 4   13Hs,245350797,Remision,Lawter Argentina S.A.,Exportacion,2024-10-21,MRKU-765586-8,5147271/ 5147273/ 5147275,0,  ,-30.00,-29250.00,Bultos,Realizado
31458-1-1,2024-10-24,8:00 ,Terminal 4   13Hs,245350797,Remision,Lawter Argentina S.A.,Exportacion,2024-10-21,MRKU-930782-0,5147271/ 5147273/ 5147275,0,  ,-30.00,-29250.00,Bultos,Realizado
31368-1-1,2024-10-24,8:00 ,Terminal 4  15Hs,244534245,Remision,Arleather S.R.L.,Exportacion,2024-10-17,MRSU-599179-0,244534245 // Lote 2202 // 2225.,0,  ,-60.00,-27805.00,Bultos,Realizado
31487-1-1,2024-10-25,8:30 ,Terminal 4  11Hs,244313248,Remision,Asecor Srl,Exportacion,2024-10-23,TCNU-303764-7,Grlem241082/244313248,0,  ,-57.00,-25820.00,Bultos,Realizado
31490-1-1,2024-10-25,8:30 ,Exolgan  16Hs,65302883,Remision,Suabia Maderas Srl,Exportacion,2024-10-21,HLBU-165380-6,Grlae2467,0,  ,0.00,-26640.00,Bultos,Realizado
31488-1-1,2024-10-25,8:30 ,Terminal  4  11Hs,244313248,Remision,Asecor Srl,Exportacion,2024-10-23,SUDU-690377-5,Grlem241082 / 244313248,0,  ,-60.00,-24440.00,Bultos,Realizado
31473-1-1,2024-10-25,8:00 ,Exolgan  16Hs,67302901-61302910,Remision,Pallets Jauregui Sociedad Anonima,Exportacion,2024-10-21,TEMU-813541-4,Madera,0,  ,0.00,-21765.00,Bultos,Realizado
31514-1-1,2024-10-25,10:00,Terrestre,24001EC01069722M,Remision,Overprint S.R.L.,Exportacion,2024-10-23,             ,Op 16810 // Terrestre,0,  ,0.00,-2426.61,Bultos,Realizado
