Operacion,Dia,Hora,Observacion,Conocimiento,Tipo Trafico,Cliente,Tipo Operacion,Fecha Ingreso,Contenedor,Descripcion Mercaderia,Dimension,Tipo Contenedor,Volumen,Kilos,Envase,Estado
31336-0-1,2024-10-21,8:00 ,10Hs,EBKG10440523,Remision,Piranga Sa,Exportacion,2024-10-16,CAIU-781609-2,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31338-0-1,2024-10-21,8:00 ,,EBKG10440523,Remision,Piranga Sa,Exportacion,2024-10-16,CAAU-691173-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31337-0-1,2024-10-21,8:00 ,10Hs,EBKG10440523,Remision,Piranga Sa,Exportacion,2024-10-16,MSDU-582085-1,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31336-0-1,2024-10-21,8:00 ,Remision,EBKG10440523,Remision,Piranga Sa,Exportacion,2024-10-16,CAIU-781609-2,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31546-0-1,2024-10-31,9:30 ,Terminal 4  11 Hs,68975769,Remision,Forestal Bosques Del Plata Sa,Exportacion,2024-10-24,HAMU-162934-8,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31630-0-1,2024-10-31,11:00,Terminal   4   01 Am,245839454,Remision,Manufactura Los Andes S.A.,Exportacion,2024-10-25,MRKU-081105-9,Vacio,40,DR,0.00,0.00,Contenedor,Realizado
31629-0-1,2024-10-31,11:00,Terminal 4   01Am,245839454,Remision,Manufactura Los Andes S.A.,Exportacion,2024-10-25,PONU-178799-8,Vacio,40,DR,0.00,0.00,Contenedor,Realizado
31628-0-1,2024-10-31,11:00,Terminal 4    01Am,245839454,Remision,Manufactura Los Andes S.A.,Exportacion,2024-10-25,APMU-403865-6,Vacio,40,DR,0.00,0.00,Contenedor,Realizado
31836-0-1,2024-11-08,13:30,Expo Terrestre,24001EC01073727M,Remision,Adp Trading Srl,Exportacion,2024-11-08,             ,Vacio,0,  ,0.00,0.00,Camion Expo,Realizado
31754-0-1,2024-11-13,9:00 ,,245471387,Remision,Arleather S.R.L.,Exportacion,2024-11-04,HASU-447678-0,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31900-0-1,2024-11-13,9:30 ,,61981253,Remision,Piranga Sa,Exportacion,2024-11-12,CAIU-841340-3,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31899-0-1,2024-11-13,9:30 ,,61981253,Remision,Piranga Sa,Exportacion,2024-11-12,FANU-151316-0,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31596-0-1,2024-11-13,9:30 ,,EBKG10553950,Remision,Lift Van Int. Co S.A,Exportacion,2024-10-28,GLDU-948595-8,Vacio,20,DR,0.00,0.00,Contenedor,Realizado
31829-0-1,2024-11-13,9:30 ,,62647146,Remision,Mercovan Argentina Srl,Exportacion,2024-11-07,HLXU-846225-0,Vacio,40,DR,0.00,0.00,Contenedor,Realizado
31811-0-1,2024-11-13,9:00 ,,245841556,Remision,Arleather S.R.L.,Exportacion,2024-11-06,MRSU-564629-0,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31810-0-1,2024-11-13,9:00 ,,245841556,Remision,Arleather S.R.L.,Exportacion,2024-11-06,MRKU-324609-6,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31756-0-1,2024-11-13,9:00 ,,245471387,Remision,Arleather S.R.L.,Exportacion,2024-11-04,MSKU-119170-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31821-0-1,2024-11-13,9:00 ,,245737435,Remision,Mader Zu S.R.L.,Exportacion,2024-11-06,MRKU-275496-0,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31849-0-1,2024-11-13,8:30 ,,340400038764,Remision,Norfor Sa,Exportacion,2024-11-08,GCXU-605573-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
