dia,hora,observa,conocim2,destino,id,cliente,tipo_oper,fecha_ing,contenedor,desc_merc,dimension,tipo_cnt,volumen,kilos,Envase,Estado
2024-10-31,10:00, TERMIANL 4   11HS                                                                                  ,245345787           ,Remision    ,31610-1-1,MANUFACTURA LOS ANDES S.A.                                                      ,EXPORTACION    ,2024-10-25,MRKU-059121-0,FACT 11-166 // 245345787                                    ,0,  ,0.00,26296.00,Bultos                                  ,Pendiente
2024-11-14,8:30 ,                                                                                                    ,245472435           ,Remision    ,31894-0-1,ARLEATHER S.R.L.                                                                ,EXPORTACION    ,2024-11-12,             ,FC 678 - LOTE 2330/2342                                     ,0,  ,0.00,52390.00,Bultos                                  ,Pendiente
2024-10-18,8:30 ,TERMINAL 4  09HS                                                                                    ,244763827           ,Remision    ,31235-1-1,LETERAGO SA                                                                     ,EXPORTACION    ,2024-10-14,TIIU-521566-5,GRLAE2458/244763827 / REMITO 01         ,0,  ,-60.00,-27420.00,BULTOS                                  ,Realizado
2024-10-18,8:30 ,TERMINAL 4 09HS                                                                                     ,244763827           ,Remision    ,31234-1-1,LETERAGO SA                                                                     ,EXPORTACION    ,2024-10-14,MRSU-366969-7,GRLAE2458/244763827 / REMITO 02         ,0,  ,-60.00,-27020.00,BULTOS                                  ,Realizado
2024-10-18,8:30 ,TERMINAL 4   09HS                                                                                   ,244763827           ,Remision    ,31233-1-1,LETERAGO SA                                                                     ,EXPORTACION    ,2024-10-14,MRKU-382170-2,GRLAE2458/244763827 / REMITO 03         ,0,  ,-60.00,-26620.00,BULTOS                                  ,Realizado
2024-10-18,9:00 ,TERMINAL 4  09HS                                                                                    ,244763827           ,Remision    ,31232-1-1,LETERAGO SA                                                                     ,EXPORTACION    ,2024-10-14,MRSU-380455-0,GRLAE2458/244763827 / REMITO 04         ,0,  ,-60.00,-26360.00,BULTOS                                  ,Realizado
2024-10-18,9:00 ,TERMINAL 4  09HS                                                                                    ,244763827           ,Remision    ,31231-1-1,LETERAGO SA                                                                     ,EXPORTACION    ,2024-10-14,MRKU-604799-2,GRLAE2458/244763827 / REMITO 05         ,0,  ,-60.00,-27155.00,BULTOS                                  ,Realizado
2024-10-18,9:00 ,TERMINAL 4  11HS                                                                                    ,244269707           ,Remision    ,31300-1-1,VIRASORO MADERAS S R L                                                          ,EXPORTACION    ,2024-10-14,CAAU-526439-2,GRLEM241076 /244269707                  ,0,  ,-60.00,-26220.00,BULTOS                                  ,Realizado
2024-10-18,9:00 ,EXOLGAN  10HS                                                                                       ,65643285            ,Remision    ,31326-1-1,REFRACTARIOS ARGENTINOS SAICM                                                   ,EXPORTACION    ,2024-10-10,BMOU-126494-6,EC 2649-24 // 65643285                  ,0,  ,-15.00,-8378.00,BULTOS                                  ,Realizado
2024-10-18,9:00 ,EXOLGAN  10HS                                                                                       ,61302687            ,Remision    ,31304-1-1,HELVECIA S.A.                                                                   ,EXPORTACION    ,2024-10-09,HLBU-224035-0,GRLEM241115                             ,0,  ,0.00,-26700.00,BULTOS                                  ,Realizado
2024-10-18,9:00 ,EXOLGAN   10HS                                                                                      ,60302714            ,Remision    ,31301-1-1,PIRANGA SA                                                                      ,EXPORTACION    ,2024-10-16,HLBU-157981-7,GRLEM241053/60302714 // REMITO 939      ,0,  ,-60.00,-24540.00,BULTOS                                  ,Realizado
2024-10-18,9:00 ,EXOLGAN   10HS                                                                                      ,60302714            ,Remision    ,31322-1-1,PIRANGA SA                                                                      ,EXPORTACION    ,2024-10-16,HLXU-847768-7,GRLEM241053/60302714 // REMITO 940      ,0,  ,-60.00,-24760.00,BULTOS                                  ,Realizado
2024-10-18,9:00 ,EXOLGAN  10HS                                                                                       ,60302714            ,Remision    ,31323-1-1,PIRANGA SA                                                                      ,EXPORTACION    ,2024-10-16,HLBU-210654-7,GRLEM241053/60302714 // REMITO 941      ,0,  ,-60.00,-24880.00,BULTOS                                  ,Realizado
2024-10-18,9:00 ,EXOLGAN  13HS                                                                                       ,EBKG10350711        ,Remision    ,31295-1-1,LIFT VAN INT. CO S.A                                                            ,EXPORTACION    ,2024-09-30,TLLU-232026-8,ELIASZ KRAWCZUK POV // VEHICULO         ,0,  ,0.00,-1383.00,BULTOS                                  ,Realizado
2024-10-18,9:00 ,EXOLGAN  13HS                                                                                       ,EBKG10350687        ,Remision    ,31294-1-1,LIFT VAN INT. CO S.A                                                            ,EXPORTACION    ,2024-09-30,MSDU-433196-4,ELIASZ KRAWCZUK DSP // 6 CAJONES        ,0,  ,0.00,-3136.00,BULTOS                                  ,Realizado
2024-10-18,9:30 ,EXOLGAN   16HS                                                                                      ,EBKG10429082        ,Remision    ,31325-1-1,HECTOR REBORATTI                                                                ,EXPORTACION    ,2024-10-15,MSMU-812255-2,GRLEM241194 /EBKG10429082 // REMITO 9588,0,  ,-60.00,-24660.00,BULTOS                                  ,Realizado
2024-10-18,9:30 ,EXOLGAN   16HS                                                                                      ,EBKG10429082        ,Remision    ,31335-1-1,HECTOR REBORATTI                                                                ,EXPORTACION    ,2024-10-15,TCNU-765920-6,GRLEM241194 /EBKG10429082 / REMITO 9589 ,0,  ,-60.00,-24620.00,BULTOS                                  ,Realizado
2024-10-18,9:30 ,TERMINAL 4  11HS                                                                                    ,244573678           ,Remision    ,31317-1-1,VALERIO OLIVA FORESTAL SA                                                       ,EXPORTACION    ,2024-10-16,MSKU-880048-0,GRLEM241105 / 244573678                 ,0,  ,-60.00,-24180.00,BULTOS                                  ,Realizado
2024-10-24,8:00 ,TERMINAL 4   13HS                                                                                   ,245350797           ,Remision    ,31458-1-1,LAWTER ARGENTINA S.A.                                                           ,EXPORTACION    ,2024-10-21,MRKU-930782-0,5147271/ 5147273/ 5147275               ,0,  ,-30.00,-29250.00,BULTOS                                  ,Realizado
2024-10-24,8:00 ,TERMINAL 4   13HS                                                                                   ,245350797           ,Remision    ,31459-1-1,LAWTER ARGENTINA S.A.                                                           ,EXPORTACION    ,2024-10-21,MRKU-765586-8,5147271/ 5147273/ 5147275               ,0,  ,-30.00,-29250.00,BULTOS                                  ,Realizado
2024-10-24,8:00 ,TERMINAL 4  13HS                                                                                    ,245350797           ,Remision    ,31460-1-1,LAWTER ARGENTINA S.A.                                                           ,EXPORTACION    ,2024-10-21,HASU-111147-4,5147271/ 5147273/ 5147275               ,0,  ,-30.00,-29250.00,BULTOS                                  ,Realizado
2024-10-24,8:00 ,TERMINAL 4   13HS                                                                                   ,ZIMUBUE9035780      ,Remision    ,31461-1-1,LAWTER ARGENTINA S.A.                                                           ,EXPORTACION    ,2024-10-22,ZCSU-258173-2,REF: 4700158890                         ,0,  ,0.00,-25740.00,BULTOS                                  ,Realizado
2024-10-24,8:00 ,TERMINAL 4  15HS                                                                                    ,244571303           ,Remision    ,31329-1-1,ARLEATHER S.R.L.                                                                ,EXPORTACION    ,2024-10-16,TLLU-582460-0,244571303 //LOTE 2237 // 2238 // 2240.  ,0,  ,-60.00,-24713.00,BULTOS                                  ,Realizado
2024-10-24,8:00 ,TERMINAL  4  15HS                                                                                   ,244571303           ,Remision    ,31330-1-1,ARLEATHER S.R.L.                                                                ,EXPORTACION    ,2024-10-16,MRKU-578701-6,244571303 //LOTE 2237 // 2238 // 2240.  ,0,  ,-60.00,-24714.00,BULTOS                                  ,Realizado
2024-10-24,8:00 ,TERMINAL 4  15HS                                                                                    ,244571303           ,Remision    ,31331-1-1,ARLEATHER S.R.L.                                                                ,EXPORTACION    ,2024-10-16,MSKU-925133-7,244571303 //LOTE 2237 // 2238 // 2240.  ,0,  ,-60.00,-24713.00,BULTOS                                  ,Realizado
2024-10-24,8:00 , TERMINAL 4   15HS                                                                                  ,244534245           ,Remision    ,31369-1-1,ARLEATHER S.R.L.                                                                ,EXPORTACION    ,2024-10-17,SUDU-673999-6,244534245 // LOTE 2202 // 2225.         ,0,  ,-60.00,-27805.00,BULTOS                                  ,Realizado
