,orden_ing,suborden,renglon,destino,dia,hora,observa,conocim2
0,31538,0,1,Retiro      ,2024-11-19,8:00 ,,BR469207701         
1,31878,0,1,Retiro      ,2024-11-19,8:00 ,,BSZFL24091129       
2,31878,0,2,Retiro      ,2024-11-19,8:00 ,,BSZFL24091129       
3,31758,1,1,Verificacion,2024-11-19,8:00 ,,GSZBUE24081413A     
4,31757,1,1,Verificacion,2024-11-19,8:00 ,,GSZBUE24081413B     
5,31927,0,1,Verificacion,2024-11-19,8:00 ,,GSZBUE24091202      
6,31793,1,1,Verificacion,2024-11-19,8:00 ,,P0017781A           
7,31793,1,1,Retiro      ,2024-11-19,8:00 ,,P0017781A           
8,31928,0,1,Verificacion,2024-11-19,8:00 ,,GSZBUE24091201      
9,31421,1,1,Retiro      ,2024-11-19,8:00 ,,LIFBUE24100011      
10,0,0,0,Mercaderia  ,2024-11-19,8:30 ,,                    
11,0,0,0,Mercaderia  ,2024-11-19,8:30 ,,                    
12,0,0,0,Mercaderia  ,2024-11-19,8:30 ,,                    
13,0,0,0,Mercaderia  ,2024-11-19,8:30 ,,                    
14,0,0,0,Mercaderia  ,2024-11-19,8:30 ,,                    
15,0,0,0,Mercaderia  ,2024-11-19,8:30 ,,                    
16,0,0,0,Mercaderia  ,2024-11-19,8:30 ,,                    
17,0,0,0,Mercaderia  ,2024-11-19,8:30 ,,                    
18,0,0,0,Mercaderia  ,2024-11-19,8:30 ,,                    
19,0,0,0,Mercaderia  ,2024-11-19,8:30 ,,                    
20,0,0,0,Mercaderia  ,2024-11-19,9:00 ,,                    
21,0,0,0,Mercaderia  ,2024-11-19,9:00 ,,                    
22,0,0,0,Mercaderia  ,2024-11-19,9:00 ,,                    
23,0,0,0,Mercaderia  ,2024-11-19,9:00 ,,                    
24,0,0,0,Mercaderia  ,2024-11-19,9:00 ,,                    
25,0,0,0,Mercaderia  ,2024-11-19,9:00 ,,                    
26,0,0,0,Mercaderia  ,2024-11-19,9:00 ,,                    
27,0,0,0,Mercaderia  ,2024-11-19,9:00 ,,                    
28,0,0,0,Mercaderia  ,2024-11-19,9:00 ,,                    
29,0,0,0,Mercaderia  ,2024-11-19,9:00 ,,                    
30,0,0,0,Mercaderia  ,2024-11-19,9:30 ,,                    
31,0,0,0,Mercaderia  ,2024-11-19,9:30 ,,                    
32,0,0,0,Mercaderia  ,2024-11-19,9:30 ,,                    
33,0,0,0,Mercaderia  ,2024-11-19,9:30 ,,                    
34,0,0,0,Mercaderia  ,2024-11-19,9:30 ,,                    
35,0,0,0,Mercaderia  ,2024-11-19,9:30 ,,                    
36,0,0,0,Mercaderia  ,2024-11-19,9:30 ,,                    
37,0,0,0,Mercaderia  ,2024-11-19,9:30 ,,                    
38,0,0,0,Mercaderia  ,2024-11-19,9:30 ,,                    
39,0,0,0,Mercaderia  ,2024-11-19,9:30 ,,                    
40,0,0,0,Mercaderia  ,2024-11-19,10:00,,                    
41,0,0,0,Mercaderia  ,2024-11-19,10:00,,                    
42,0,0,0,Mercaderia  ,2024-11-19,10:00,,                    
43,0,0,0,Mercaderia  ,2024-11-19,10:00,,                    
44,0,0,0,Mercaderia  ,2024-11-19,10:00,,                    
45,0,0,0,Mercaderia  ,2024-11-19,10:00,,                    
46,0,0,0,Mercaderia  ,2024-11-19,10:00,,                    
47,0,0,0,Mercaderia  ,2024-11-19,10:00,,                    
48,0,0,0,Mercaderia  ,2024-11-19,10:00,,                    
49,0,0,0,Mercaderia  ,2024-11-19,10:00,,                    
50,0,0,0,Mercaderia  ,2024-11-19,10:30,,                    
51,0,0,0,Mercaderia  ,2024-11-19,10:30,,                    
52,0,0,0,Mercaderia  ,2024-11-19,10:30,,                    
53,0,0,0,Mercaderia  ,2024-11-19,10:30,,                    
54,0,0,0,Mercaderia  ,2024-11-19,10:30,,                    
55,0,0,0,Mercaderia  ,2024-11-19,10:30,,                    
56,0,0,0,Mercaderia  ,2024-11-19,10:30,,                    
57,0,0,0,Mercaderia  ,2024-11-19,10:30,,                    
58,0,0,0,Mercaderia  ,2024-11-19,10:30,,                    
59,0,0,0,Mercaderia  ,2024-11-19,10:30,,                    
60,0,0,0,Mercaderia  ,2024-11-19,11:00,,                    
61,0,0,0,Mercaderia  ,2024-11-19,11:00,,                    
62,0,0,0,Mercaderia  ,2024-11-19,11:00,,                    
63,0,0,0,Mercaderia  ,2024-11-19,11:00,,                    
64,0,0,0,Mercaderia  ,2024-11-19,11:00,,                    
65,0,0,0,Mercaderia  ,2024-11-19,11:00,,                    
66,0,0,0,Mercaderia  ,2024-11-19,11:00,,                    
67,0,0,0,Mercaderia  ,2024-11-19,11:00,,                    
68,0,0,0,Mercaderia  ,2024-11-19,11:00,,                    
69,0,0,0,Mercaderia  ,2024-11-19,11:00,,                    
70,0,0,0,Mercaderia  ,2024-11-19,11:30,,                    
71,0,0,0,Mercaderia  ,2024-11-19,11:30,,                    
72,0,0,0,Mercaderia  ,2024-11-19,11:30,,                    
73,0,0,0,Mercaderia  ,2024-11-19,11:30,,                    
74,0,0,0,Mercaderia  ,2024-11-19,11:30,,                    
75,0,0,0,Mercaderia  ,2024-11-19,11:30,,                    
76,0,0,0,Mercaderia  ,2024-11-19,11:30,,                    
77,0,0,0,Mercaderia  ,2024-11-19,11:30,,                    
78,0,0,0,Mercaderia  ,2024-11-19,11:30,,                    
79,0,0,0,Mercaderia  ,2024-11-19,11:30,,                    
80,0,0,0,Mercaderia  ,2024-11-19,12:00,,                    
81,0,0,0,Mercaderia  ,2024-11-19,12:00,,                    
82,0,0,0,Mercaderia  ,2024-11-19,12:00,,                    
83,0,0,0,Mercaderia  ,2024-11-19,12:00,,                    
84,0,0,0,Mercaderia  ,2024-11-19,12:00,,                    
85,0,0,0,Mercaderia  ,2024-11-19,12:00,,                    
86,0,0,0,Mercaderia  ,2024-11-19,12:00,,                    
87,0,0,0,Mercaderia  ,2024-11-19,12:00,,                    
88,0,0,0,Mercaderia  ,2024-11-19,12:00,,                    
89,0,0,0,Mercaderia  ,2024-11-19,12:00,,                    
90,0,0,0,Mercaderia  ,2024-11-19,12:30,,                    
91,0,0,0,Mercaderia  ,2024-11-19,12:30,,                    
92,0,0,0,Mercaderia  ,2024-11-19,12:30,,                    
93,0,0,0,Mercaderia  ,2024-11-19,12:30,,                    
94,0,0,0,Mercaderia  ,2024-11-19,12:30,,                    
95,0,0,0,Mercaderia  ,2024-11-19,12:30,,                    
96,0,0,0,Mercaderia  ,2024-11-19,12:30,,                    
97,0,0,0,Mercaderia  ,2024-11-19,12:30,,                    
98,0,0,0,Mercaderia  ,2024-11-19,12:30,,                    
99,0,0,0,Mercaderia  ,2024-11-19,12:30,,                    
100,0,0,0,Mercaderia  ,2024-11-19,13:00,,                    
101,0,0,0,Mercaderia  ,2024-11-19,13:00,,                    
102,0,0,0,Mercaderia  ,2024-11-19,13:00,,                    
103,0,0,0,Mercaderia  ,2024-11-19,13:00,,                    
104,0,0,0,Mercaderia  ,2024-11-19,13:00,,                    
105,0,0,0,Mercaderia  ,2024-11-19,13:00,,                    
106,0,0,0,Mercaderia  ,2024-11-19,13:00,,                    
107,0,0,0,Mercaderia  ,2024-11-19,13:00,,                    
108,0,0,0,Mercaderia  ,2024-11-19,13:00,,                    
109,0,0,0,Mercaderia  ,2024-11-19,13:00,,                    
110,0,0,0,Mercaderia  ,2024-11-19,13:30,,                    
111,0,0,0,Mercaderia  ,2024-11-19,13:30,,                    
112,0,0,0,Mercaderia  ,2024-11-19,13:30,,                    
113,0,0,0,Mercaderia  ,2024-11-19,13:30,,                    
114,0,0,0,Mercaderia  ,2024-11-19,13:30,,                    
115,0,0,0,Mercaderia  ,2024-11-19,13:30,,                    
116,0,0,0,Mercaderia  ,2024-11-19,13:30,,                    
117,0,0,0,Mercaderia  ,2024-11-19,13:30,,                    
118,0,0,0,Mercaderia  ,2024-11-19,13:30,,                    
119,0,0,0,Mercaderia  ,2024-11-19,13:30,,                    
120,0,0,0,Mercaderia  ,2024-11-19,14:00,,                    
121,0,0,0,Mercaderia  ,2024-11-19,14:00,,                    
122,0,0,0,Mercaderia  ,2024-11-19,14:00,,                    
123,0,0,0,Mercaderia  ,2024-11-19,14:00,,                    
124,0,0,0,Mercaderia  ,2024-11-19,14:00,,                    
125,0,0,0,Mercaderia  ,2024-11-19,14:00,,                    
126,0,0,0,Mercaderia  ,2024-11-19,14:00,,                    
127,0,0,0,Mercaderia  ,2024-11-19,14:00,,                    
128,0,0,0,Mercaderia  ,2024-11-19,14:00,,                    
129,0,0,0,Mercaderia  ,2024-11-19,14:00,,                    
130,0,0,0,Mercaderia  ,2024-11-19,14:30,,                    
131,0,0,0,Mercaderia  ,2024-11-19,14:30,,                    
132,0,0,0,Mercaderia  ,2024-11-19,14:30,,                    
133,0,0,0,Mercaderia  ,2024-11-19,14:30,,                    
134,0,0,0,Mercaderia  ,2024-11-19,14:30,,                    
135,0,0,0,Mercaderia  ,2024-11-19,14:30,,                    
136,0,0,0,Mercaderia  ,2024-11-19,14:30,,                    
137,0,0,0,Mercaderia  ,2024-11-19,14:30,,                    
138,0,0,0,Mercaderia  ,2024-11-19,14:30,,                    
139,0,0,0,Mercaderia  ,2024-11-19,14:30,,                    
140,0,0,0,Mercaderia  ,2024-11-19,15:00,,                    
141,0,0,0,Mercaderia  ,2024-11-19,15:00,,                    
142,0,0,0,Mercaderia  ,2024-11-19,15:00,,                    
143,0,0,0,Mercaderia  ,2024-11-19,15:00,,                    
144,0,0,0,Mercaderia  ,2024-11-19,15:00,,                    
145,0,0,0,Mercaderia  ,2024-11-19,15:00,,                    
146,0,0,0,Mercaderia  ,2024-11-19,15:00,,                    
147,0,0,0,Mercaderia  ,2024-11-19,15:00,,                    
148,0,0,0,Mercaderia  ,2024-11-19,15:00,,                    
149,0,0,0,Mercaderia  ,2024-11-19,15:00,,                    
150,0,0,0,Mercaderia  ,2024-11-19,15:30,,                    
151,0,0,0,Mercaderia  ,2024-11-19,15:30,,                    
152,0,0,0,Mercaderia  ,2024-11-19,15:30,,                    
153,0,0,0,Mercaderia  ,2024-11-19,15:30,,                    
154,0,0,0,Mercaderia  ,2024-11-19,15:30,,                    
155,0,0,0,Mercaderia  ,2024-11-19,15:30,,                    
156,0,0,0,Mercaderia  ,2024-11-19,15:30,,                    
157,0,0,0,Mercaderia  ,2024-11-19,15:30,,                    
158,0,0,0,Mercaderia  ,2024-11-19,15:30,,                    
159,0,0,0,Mercaderia  ,2024-11-19,15:30,,                    
160,0,0,0,Mercaderia  ,2024-11-19,16:00,,                    
161,0,0,0,Mercaderia  ,2024-11-19,16:00,,                    
162,0,0,0,Mercaderia  ,2024-11-19,16:00,,                    
163,0,0,0,Mercaderia  ,2024-11-19,16:00,,                    
164,0,0,0,Mercaderia  ,2024-11-19,16:00,,                    
165,0,0,0,Mercaderia  ,2024-11-19,16:00,,                    
166,0,0,0,Mercaderia  ,2024-11-19,16:00,,                    
167,0,0,0,Mercaderia  ,2024-11-19,16:00,,                    
168,0,0,0,Mercaderia  ,2024-11-19,16:00,,                    
169,0,0,0,Mercaderia  ,2024-11-19,16:00,,                    
170,0,0,0,Mercaderia  ,2024-11-19,16:30,,                    
171,0,0,0,Mercaderia  ,2024-11-19,16:30,,                    
172,0,0,0,Mercaderia  ,2024-11-19,16:30,,                    
173,0,0,0,Mercaderia  ,2024-11-19,16:30,,                    
174,0,0,0,Mercaderia  ,2024-11-19,16:30,,                    
175,0,0,0,Mercaderia  ,2024-11-19,16:30,,                    
176,0,0,0,Mercaderia  ,2024-11-19,16:30,,                    
177,0,0,0,Mercaderia  ,2024-11-19,16:30,,                    
178,0,0,0,Mercaderia  ,2024-11-19,16:30,,                    
179,0,0,0,Mercaderia  ,2024-11-19,16:30,,                    
180,0,0,0,Mercaderia  ,2024-11-19,17:00,,                    
181,0,0,0,Mercaderia  ,2024-11-19,17:00,,                    
182,0,0,0,Mercaderia  ,2024-11-19,17:00,,                    
183,0,0,0,Mercaderia  ,2024-11-19,17:00,,                    
184,0,0,0,Mercaderia  ,2024-11-19,17:00,,                    
185,0,0,0,Mercaderia  ,2024-11-19,17:00,,                    
186,0,0,0,Mercaderia  ,2024-11-19,17:00,,                    
187,0,0,0,Mercaderia  ,2024-11-19,17:00,,                    
188,0,0,0,Mercaderia  ,2024-11-19,17:00,,                    
189,0,0,0,Mercaderia  ,2024-11-19,17:00,,                    
190,0,0,0,Mercaderia  ,2024-11-19,17:30,,                    
191,0,0,0,Mercaderia  ,2024-11-19,17:30,,                    
192,0,0,0,Mercaderia  ,2024-11-19,17:30,,                    
193,0,0,0,Mercaderia  ,2024-11-19,17:30,,                    
194,0,0,0,Mercaderia  ,2024-11-19,17:30,,                    
195,0,0,0,Mercaderia  ,2024-11-19,17:30,,                    
196,0,0,0,Mercaderia  ,2024-11-19,17:30,,                    
197,0,0,0,Mercaderia  ,2024-11-19,17:30,,                    
198,0,0,0,Mercaderia  ,2024-11-19,17:30,,                    
199,0,0,0,Mercaderia  ,2024-11-19,17:30,,                    
200,0,0,0,Mercaderia  ,2024-11-19,18:00,,                    
201,0,0,0,Mercaderia  ,2024-11-19,18:00,,                    
202,0,0,0,Mercaderia  ,2024-11-19,18:00,,                    
203,0,0,0,Mercaderia  ,2024-11-19,18:00,,                    
204,0,0,0,Mercaderia  ,2024-11-19,18:00,,                    
205,0,0,0,Mercaderia  ,2024-11-19,18:00,,                    
206,0,0,0,Mercaderia  ,2024-11-19,18:00,,                    
207,0,0,0,Mercaderia  ,2024-11-19,18:00,,                    
208,0,0,0,Mercaderia  ,2024-11-19,18:00,,                    
209,0,0,0,Mercaderia  ,2024-11-19,18:00,,                    
210,0,0,0,Mercaderia  ,2024-11-19,18:30,,                    
211,0,0,0,Mercaderia  ,2024-11-19,18:30,,                    
212,0,0,0,Mercaderia  ,2024-11-19,18:30,,                    
213,0,0,0,Mercaderia  ,2024-11-19,18:30,,                    
214,0,0,0,Mercaderia  ,2024-11-19,18:30,,                    
215,0,0,0,Mercaderia  ,2024-11-19,18:30,,                    
216,0,0,0,Mercaderia  ,2024-11-19,18:30,,                    
217,0,0,0,Mercaderia  ,2024-11-19,18:30,,                    
218,0,0,0,Mercaderia  ,2024-11-19,18:30,,                    
