Factura,Emision,Vencimiento,Razon Social,Neto,Importe Total
A 0003-00025052,2025-03-27,2025-04-11,Mercovan Argentina Srl,"$3.273.503,22","$3.960.938,89"
A 0003-00025064,2025-03-28,2025-04-12,Mercovan Argentina Srl,"$2.446.535,84","$2.960.308,37"
A 0003-00025124,2025-04-01,2025-04-16,Mercovan Argentina Srl,"$2.244.318,18","$2.715.625,00"
A 0003-00025164,2025-04-07,2025-04-22,Mercovan Argentina Srl,"$1.312.380,24","$1.587.980,09"
A 0003-00025183,2025-04-08,2025-04-23,Mercovan Argentina Srl,"$2.209.472,81","$2.673.462,10"
A 0003-00025221,2025-04-11,2025-04-26,Mercovan Argentina Srl,"$1.297.523,89","$1.570.003,91"
A 0003-00025250,2025-04-14,2025-04-29,Mercovan Argentina Srl,"$1.920.807,99","$2.324.177,67"
A 0003-00025291,2025-04-17,2025-05-02,Mercovan Argentina Srl,"$1.226.626,66","$1.484.218,26"
A 0003-00025325,2025-04-22,2025-05-07,Mercovan Argentina Srl,"$1.887.338,73","$2.283.679,87"
A 0003-00025367,2025-04-25,2025-05-10,Mercovan Argentina Srl,"$1.125.229,00","$1.361.527,09"
A 0003-00025438,2025-04-29,2025-05-14,Mercovan Argentina Srl,"$2.336.461,20","$2.827.118,05"
A 0003-00025452,2025-04-30,2025-05-15,Mercovan Argentina Srl,"$1.747.710,90","$2.114.730,19"
A 0003-00025453,2025-04-30,2025-05-15,Mercovan Argentina Srl,"$3.053.575,16","$3.694.825,95"
A 0003-00025481,2025-05-05,2025-05-20,Mercovan Argentina Srl,"$2.276.737,46","$2.754.852,33"
A 0003-00025491,2025-05-06,2025-05-21,Mercovan Argentina Srl,"$2.025.602,64","$2.450.979,19"
A 0003-00025505,2025-05-07,2025-05-22,Mercovan Argentina Srl,"$2.530.700,22","$3.062.147,27"
A 0003-00025513,2025-05-07,2025-05-22,Mercovan Argentina Srl,"$367.768,60","$445.000,01"
A 0003-00025542,2025-05-09,2025-05-24,Mercovan Argentina Srl,"$367.768,60","$445.000,01"
A 0003-00025563,2025-05-12,2025-05-27,Mercovan Argentina Srl,"$1.270.680,20","$1.537.523,05"
A 0003-00025564,2025-05-12,2025-05-27,Mercovan Argentina Srl,"$1.414.853,84","$1.711.973,15"
A 0003-00025578,2025-05-13,2025-05-28,Mercovan Argentina Srl,"$1.621.465,42","$1.961.973,16"
A 0003-00025581,2025-05-13,2025-05-28,Mercovan Argentina Srl,"$2.327.026,46","$2.815.702,01"
A 0003-00025584,2025-05-13,2025-05-28,Mercovan Argentina Srl,"$2.730.092,38","$3.303.411,78"
A 0003-00025621,2025-05-15,2025-05-30,Mercovan Argentina Srl,"$1.902.054,18","$2.301.485,56"
A 0003-00025649,2025-05-16,2025-05-31,Mercovan Argentina Srl,"$2.804.241,46","$3.393.132,17"
A 0003-00025671,2025-05-19,2025-06-03,Mercovan Argentina Srl,"$2.460.368,30","$2.977.045,64"
A 0003-00025686,2025-05-20,2025-06-04,Mercovan Argentina Srl,"$1.537.011,91","$1.859.784,41"
A 0003-00025693,2025-05-21,2025-06-05,Mercovan Argentina Srl,"$2.247.425,12","$2.719.384,39"
A 0003-00025729,2025-05-23,2025-06-07,Mercovan Argentina Srl,"$1.220.706,44","$1.477.054,79"
A 0003-00025759,2025-05-26,2025-06-10,Mercovan Argentina Srl,"$2.941.684,63","$3.559.438,40"
A 0003-00025765,2025-05-26,2025-06-10,Mercovan Argentina Srl,"$786.776,86","$952.000,00"
A 0003-00025780,2025-05-27,2025-06-11,Mercovan Argentina Srl,"$1.814.953,00","$2.196.093,13"
A 0003-00025792,2025-05-28,2025-06-12,Mercovan Argentina Srl,"$1.791.338,78","$2.167.519,92"
A 0003-00025838,2025-06-02,2025-06-17,Mercovan Argentina Srl,"$1.877.894,20","$2.272.251,98"
A 0003-00025859,2025-06-04,2025-06-19,Mercovan Argentina Srl,"$2.518.321,62","$3.047.169,16"
A 0003-00025895,2025-06-05,2025-06-20,Mercovan Argentina Srl,"$1.820.797,94","$2.203.165,51"
A 0003-00025896,2025-06-05,2025-06-20,Mercovan Argentina Srl,"$2.861.734,58","$3.462.698,84"
A 0003-00025971,2025-06-11,2025-06-26,Mercovan Argentina Srl,"$1.044.297,52","$1.263.600,00"
A 0003-00026025,2025-06-13,2025-06-28,Mercovan Argentina Srl,"$747.486,00","$747.486,00"
NdC A 0003-00002006,2025-05-13,2025-05-13,Mercovan Argentina Srl,"($1.414.853,84)","($1.711.973,15)"
